term,log_odds,scope
associated christ,-2.874836589421074,overall
associated items,-1.3487802859260247,overall
associated kidlington,1.9952586818961822,overall
associated little,-2.4908776865338735,overall
associated mr,0.9072847914331282,overall
associated shares,-2.5725557175481404,overall
associated st,0.2606576265080758,overall
associated tenement,2.1477272755404555,overall
associates,0.4037584701487491,overall
association,-3.67116800621625,overall
association charles,-4.688102263870093,overall
assumed,3.093870970564292,overall
attendance,-3.8168798173976435,overall
attending,-3.709634287044046,overall
attorney,-3.8502162376652356,overall
attributable,2.52934116782644,overall
attributed,3.694644830993222,overall
atwell,-1.0743434402242644,overall
audit,-0.976105000640851,overall
augmentation,-0.7048470881474921,overall
augmentation augmentation,3.169378523072437,overall
augmentation benefices,-4.688102263870093,overall
augmentation church,2.0852069185591215,overall
augmentation common,-3.116442203575019,overall
augmentation commons,-2.5725557175481404,overall
augmentation cuddington,0.1003149764328964,overall
augmentation ecclesiastical,3.8533932200691097,overall
augmentation entry,-0.19132749723498158,overall
augmentation grant,3.3709932828010705,overall
augmentation income,4.4947641311053355,overall
augmentation kidlington,-0.5570522766936318,overall
augmentation living,-0.17466044474976983,overall
augmentation long,-1.174426898781247,overall
augmentation paid,-3.658009921638739,overall
augmentation payment,-1.8420265516743561,overall
augmentation payments,-2.5725557175481404,overall
augmentation presentation,-4.688102263870093,overall
augmentation received,3.924219272637722,overall
augmentation rector,-2.683781352658365,overall
augmentation rectory,-1.2653986769869736,overall
augmentation reduced,0.2606576265080758,overall
augmentation reduction,-1.3487802859260247,overall
augmentation related,-1.8596059096920152,overall
augmentation relating,-0.8187233002321465,overall
augmentation south,-3.0351792394962533,overall
augmentation stipend,-0.10706715361724163,overall
augmentations,-3.1066382034783984,overall
august,0.19813726952674177,overall
authorities,-4.205250492146508,overall
authority,-2.490877686533873,overall
autumn,0.09360354184490963,overall
award,-3.294690434981338,overall
awarded,-1.0892690904409401,overall
awards,-3.0351792394962533,overall
away,-4.1337915281643625,overall
away rubbish,-4.00202225053324,overall
ayres,-2.958218198360125,overall
backgate,1.8065821332198502,overall
backgate property,4.192483259232401,overall
bad,0.427711711171242,overall
badger,-1.7408223737020485,overall
baker,-2.0080259148102884,overall
bakery,-2.683781352658365,overall
balance,0.8484442914101947,overall
balance brought,-0.9810555058007072,overall
balance carried,0.6216709720454062,overall
balance paid,-1.7762243007529643,overall
balance payment,0.2606576265080756,overall
balance received,5.378651438924831,overall
balance rent,2.6585528993064464,overall
ball,-0.9289264403657608,overall
balliol,-3.246808948748124,overall
balliol college,-3.67675461292489,overall
bampton,2.921915666103527,overall
bampton covering,4.7265657451626595,overall
bampton estate,3.924219272637722,overall
bampton tenement,3.305180064231499,overall
bampton year,3.4795334513762763,overall
banister,4.630105478975097,overall
bank,0.16057416795109306,overall
bankers,2.206567775563389,overall
banwell,4.655106781180514,overall
banwell little,3.3961518424372255,overall
bapt,-0.6372839666978828,overall
baptism,-0.6083802205155335,overall
baptist,-2.669454460037603,overall
baptist college,-3.0351792394962533,overall
baptist feast,-2.196078146313228,overall
baptist midsummer,-1.4972002910442979,overall
baptist officers,-1.6852525225472377,overall
baptist paid,-1.3487802859260247,overall
baptist st,-2.212272832233209,overall
barber,-4.341173658214501,overall
barber services,-4.72977496027066,overall
barber tonsor,-4.205250492146508,overall
barker,1.9470565800783044,overall
barn,-1.372037148090292,overall
barn door,-2.683781352658365,overall
barnes,0.6959756977659214,overall
barnwell,0.6283824066333932,overall
barret,5.402321183010735,overall
barrett,1.166366249051694,overall
bartholomew,2.6215116276260972,overall
bartlett,-2.0080259148102884,overall
barton,-3.3935362696179707,overall
barton fund,-5.781975207174305,overall
basis,3.093870970564292,overall
batch,2.2975395537691155,overall
bath,-1.585169063990255,overall
battel,-3.8502162376652356,overall
battel account,-2.5725557175481404,overall
battel books,-2.958218198360125,overall
battels,-0.39985262473884714,overall
battels college,-0.11883199519682786,overall
battels michaelmas,-0.4865567753221454,overall
battels student,0.20801389302265383,overall
battery,-3.3502602861361486,overall
baxter,-2.9311895259722056,overall
baxter printing,-2.683781352658365,overall
bayley,-0.04949730179576385,overall
beadle,-5.559425303844286,overall
beadle bedell,-2.5725557175481404,overall
beadle beggars,-3.882477099883457,overall
beadle distribution,-4.8926339679897035,overall
beadles,-4.688102263870093,overall
beadles charge,-4.688102263870093,overall
beaton,2.5078926244189566,overall
beaton covering,3.694644830993222,overall
beaumont,-1.3487802859260247,overall
beck,1.8700955389421763,overall
beck little,3.205096605674516,overall
becks,1.313807541099428,overall
bedel,-1.7468104155466708,overall
bedel beggars,-1.2556898628600126,overall
bedell,-3.1066382034783984,overall
bedell beggars,-2.5725557175481404,overall
bedells,-2.958218198360125,overall
bedmakers,3.8160056879974893,overall
bedmakers fund,3.4795334513762763,overall
beggars,-3.5159274080249663,overall
beggars alms,-4.8926339679897035,overall
beggars charitable,-3.8168798173976435,overall
beginning,1.0227976785549724,overall
behalf,-1.2379403045035728,overall
behalf mr,-0.365048273256337,overall
bell,-3.595550599813674,overall
bell ringer,-2.5725557175481404,overall
bell rope,-3.9734488780891835,overall
bell ropes,-2.5725557175481404,overall
bellringer,-2.7838648112153472,overall
belonging,1.666000182598661,overall
belonging jesus,3.305180064231499,overall
benefaction,1.4426515241152364,overall
benefaction caesarean,-3.1066382034783984,overall
benefaction donation,1.4844330581301914,overall
benefaction midsummer,3.093870970564292,overall
benefaction mr,5.264603932453535,overall
benefaction paid,1.870095538942176,overall
benefaction received,4.192483259232401,overall
benefaction shortridge,3.205096605674516,overall
