year,language,n_entries,total,share,era
1736,mixed,35.77142857142857,137.9142857142857,0.25937435259995856,pre_1760
1737,english,73.91428571428571,168.9142857142857,0.4375845737483085,pre_1760
1737,latin,28.228571428571428,168.9142857142857,0.16711772665764546,pre_1760
1737,mixed,66.77142857142857,168.9142857142857,0.39529769959404604,pre_1760
1738,english,47.91428571428571,148.9142857142857,0.32175748273215654,pre_1760
1738,latin,45.22857142857143,148.9142857142857,0.30372217958557174,pre_1760
1738,mixed,55.77142857142857,148.9142857142857,0.3745203376822717,pre_1760
1739,english,77.91428571428571,159.9142857142857,0.4872252992674647,pre_1760
1739,latin,33.22857142857143,159.9142857142857,0.20778988743969984,pre_1760
1739,mixed,48.77142857142857,159.9142857142857,0.30498481329283544,pre_1760
1740,english,88.91428571428571,170.9142857142857,0.5202273487128051,pre_1760
1740,latin,16.228571428571428,170.9142857142857,0.09495152123035774,pre_1760
1740,mixed,65.77142857142857,170.9142857142857,0.3848211300568372,pre_1760
1741,english,76.91428571428571,158.9142857142857,0.48399856166846456,pre_1760
1741,latin,24.228571428571428,158.9142857142857,0.1524631427544049,pre_1760
1741,mixed,57.77142857142857,158.9142857142857,0.3635382955771305,pre_1760
1742,english,68.91428571428571,163.9142857142857,0.4204287955377375,pre_1760
1742,latin,24.228571428571428,163.9142857142857,0.14781244552902215,pre_1760
1742,mixed,70.77142857142857,163.9142857142857,0.4317587589332404,pre_1760
1743,english,54.91428571428571,159.9142857142857,0.3433982490619975,pre_1760
1743,latin,18.228571428571428,159.9142857142857,0.11398963730569948,pre_1760
1743,mixed,86.77142857142857,159.9142857142857,0.542612113632303,pre_1760
1744,english,74.91428571428571,169.9142857142857,0.44089456869009586,pre_1760
1744,latin,24.228571428571428,169.9142857142857,0.14259290398520263,pre_1760
1744,mixed,70.77142857142857,169.9142857142857,0.41651252732470156,pre_1760
1745,english,67.91428571428571,174.9142857142857,0.3882718065991506,pre_1760
1745,latin,24.228571428571428,174.9142857142857,0.13851682456713493,pre_1760
1745,mixed,82.77142857142857,174.9142857142857,0.4732113688337145,pre_1760
1746,english,104.91428571428571,200.9142857142857,0.5221843003412969,pre_1760
1746,latin,35.22857142857143,200.9142857142857,0.17534129692832764,pre_1760
1746,mixed,60.77142857142857,200.9142857142857,0.30247440273037546,pre_1760
1747,english,73.91428571428571,184.9142857142857,0.3997218788627936,pre_1760
1747,latin,50.22857142857143,184.9142857142857,0.2716316440049444,pre_1760
1747,mixed,60.77142857142857,184.9142857142857,0.3286464771322621,pre_1760
1748,english,88.91428571428571,184.9142857142857,0.48084054388133496,pre_1760
1748,latin,53.22857142857143,184.9142857142857,0.28785537700865266,pre_1760
1748,mixed,42.77142857142857,184.9142857142857,0.23130407911001236,pre_1760
1749,english,87.91428571428571,181.9142857142857,0.4832731270614104,pre_1760
1749,latin,43.22857142857143,181.9142857142857,0.23763153761583164,pre_1760
1749,mixed,50.77142857142857,181.9142857142857,0.279095335322758,pre_1760
1750,english,46.91428571428571,172.9142857142857,0.2713152676801057,pre_1760
1750,latin,71.22857142857143,172.9142857142857,0.41192994051553206,pre_1760
1750,mixed,54.77142857142857,172.9142857142857,0.3167547918043622,pre_1760
1751,english,75.91428571428571,164.9142857142857,0.4603257103257103,pre_1760
1751,latin,32.22857142857143,164.9142857142857,0.19542619542619544,pre_1760
1751,mixed,56.77142857142857,164.9142857142857,0.34424809424809427,pre_1760
1752,english,75.91428571428571,175.9142857142857,0.4315413350657788,pre_1760
1752,latin,86.22857142857143,175.9142857142857,0.49017378593470845,pre_1760
1752,mixed,13.771428571428572,175.9142857142857,0.07828487899951275,pre_1760
1753,english,50.91428571428571,156.9142857142857,0.3244719592134013,pre_1760
1753,latin,52.22857142857143,156.9142857142857,0.3328477785870357,pre_1760
1753,mixed,53.77142857142857,156.9142857142857,0.342680262199563,pre_1760
1754,english,65.91428571428571,187.9142857142857,0.35076782727687394,pre_1760
1754,latin,82.22857142857143,187.9142857142857,0.4375855253154934,pre_1760
1754,mixed,39.77142857142857,187.9142857142857,0.21164664740763267,pre_1760
1755,english,67.91428571428571,185.9142857142857,0.3652989088673736,pre_1760
1755,latin,88.22857142857143,185.9142857142857,0.47456585215921315,pre_1760
1755,mixed,29.771428571428572,185.9142857142857,0.16013523897341325,pre_1760
1756,english,40.91428571428571,139.9142857142857,0.29242393302021646,pre_1760
1756,latin,45.22857142857143,139.9142857142857,0.32325913824790686,pre_1760
1756,mixed,53.77142857142857,139.9142857142857,0.3843169287318767,pre_1760
1757,english,51.91428571428571,151.9142857142857,0.3417340605604664,pre_1760
1757,latin,49.22857142857143,151.9142857142857,0.32405491818694754,pre_1760
1757,mixed,50.77142857142857,151.9142857142857,0.33421102125258606,pre_1760
1758,english,67.91428571428571,183.9142857142857,0.3692713997203666,pre_1760
1758,latin,47.22857142857143,183.9142857142857,0.256796644399565,pre_1760
1758,mixed,68.77142857142857,183.9142857142857,0.3739319558800684,pre_1760
1759,english,57.41428571428571,137.4142857142857,0.4178189000935648,pre_1760
1759,latin,10.228571428571428,137.4142857142857,0.07443601205946564,pre_1760
1759,mixed,69.77142857142857,137.4142857142857,0.5077450878469696,pre_1760
1760,english,57.41428571428571,137.4142857142857,0.4178189000935648,industrial_1760_1840
1760,latin,10.228571428571428,137.4142857142857,0.07443601205946564,industrial_1760_1840
1760,mixed,69.77142857142857,137.4142857142857,0.5077450878469696,industrial_1760_1840
1761,english,85.91428571428571,171.9142857142857,0.49975070633205915,industrial_1760_1840
1761,latin,59.22857142857143,171.9142857142857,0.344523849094233,industrial_1760_1840
1761,mixed,26.771428571428572,171.9142857142857,0.15572544457370782,industrial_1760_1840
1762,english,56.91428571428571,159.9142857142857,0.3559049490798642,industrial_1760_1840
1762,latin,77.22857142857143,159.9142857142857,0.48293728783276757,industrial_1760_1840
1762,mixed,25.771428571428572,159.9142857142857,0.16115776308736823,industrial_1760_1840
1763,english,53.91428571428571,159.9142857142857,0.3371448990530641,industrial_1760_1840
1763,latin,37.22857142857143,159.9142857142857,0.23280328747543327,industrial_1760_1840
1763,mixed,68.77142857142857,159.9142857142857,0.4300518134715026,industrial_1760_1840
1764,english,69.91428571428571,155.9142857142857,0.44841487997067986,industrial_1760_1840
1764,latin,56.22857142857143,155.9142857142857,0.3606377130291369,industrial_1760_1840
1764,mixed,29.771428571428572,155.9142857142857,0.19094740700018326,industrial_1760_1840
1765,english,74.91428571428571,147.9142857142857,0.5064709291095228,industrial_1760_1840
1765,latin,16.228571428571428,147.9142857142857,0.10971605176743288,industrial_1760_1840
1765,mixed,56.77142857142857,147.9142857142857,0.3838130191230443,industrial_1760_1840
1766,english,138.9142857142857,186.9142857142857,0.7431977988382757,industrial_1760_1840
1766,latin,27.228571428571428,186.9142857142857,0.1456741057780495,industrial_1760_1840
1766,mixed,20.771428571428572,186.9142857142857,0.11112809538367473,industrial_1760_1840
1767,english,107.91428571428571,328.9142857142857,0.328092425295344,industrial_1760_1840
1767,latin,102.72857142857143,328.9142857142857,0.3123262682418346,industrial_1760_1840
1767,mixed,118.27142857142857,328.9142857142857,0.35958130646282144,industrial_1760_1840
1768,english,61.91428571428571,177.9142857142857,0.34800064236389916,industrial_1760_1840
1768,latin,44.72857142857143,177.9142857142857,0.25140517102938814,industrial_1760_1840
1768,mixed,71.27142857142857,177.9142857142857,0.4005941866067127,industrial_1760_1840
1769,english,0.9142857142857143,1.9142857142857141,0.4776119402985075,industrial_1760_1840
1769,latin,0.22857142857142856,1.9142857142857141,0.11940298507462688,industrial_1760_1840
1769,mixed,0.7714285714285714,1.9142857142857141,0.40298507462686567,industrial_1760_1840
1770,english,26.5,73.5,0.36054421768707484,industrial_1760_1840
1770,latin,18.0,73.5,0.24489795918367346,industrial_1760_1840
1770,mixed,29.0,73.5,0.3945578231292517,industrial_1760_1840
1771,english,74.5,169.0,0.4408284023668639,industrial_1760_1840
1771,latin,50.0,169.0,0.2958579881656805,industrial_1760_1840
1771,mixed,44.5,169.0,0.26331360946745563,industrial_1760_1840
1772,english,110.5,176.5,0.6260623229461756,industrial_1760_1840
1772,latin,49.0,176.5,0.2776203966005666,industrial_1760_1840
1772,mixed,17.0,176.5,0.09631728045325778,industrial_1760_1840
1773,english,94.5,189.0,0.5,industrial_1760_1840
1773,latin,37.5,189.0,0.1984126984126984,industrial_1760_1840
1773,mixed,57.0,189.0,0.30158730158730157,industrial_1760_1840
1774,english,77.0,204.5,0.3765281173594132,industrial_1760_1840
1774,latin,46.0,204.5,0.22493887530562348,industrial_1760_1840
1774,mixed,81.5,204.5,0.39853300733496333,industrial_1760_1840
