skip_threshold,overall_binary_accuracy,performance_preservation_vs_oracle,performance_preservation_vs_ensemble,cost_reduction,avg_api_calls,oracle_avg,ensemble_avg,final_avg,avg_axis1,avg_axis2,avg_axis2_match,avg_axis2_sim,avg_axis2_frac,min_score,score_std,balanced_score,k,confidence_threshold
0.01,0.6161616161616161,0.9637711680038986,1.0012222507494424,0.04040404040404041,2.878787878787879,0.870560606060606,0.8379969696969697,0.8390212121212122,0.8193,0.8475,0.8187,0.9648,0.7435,0.5861,0.1032,0.5974585972694739,5,0.6
0.005,0.5858585858585859,0.9674225942879023,1.0050155674244863,0.06060606060606061,2.8181818181818183,0.870560606060606,0.8379969696969697,0.8422000000000001,0.825,0.8496,0.8197,0.9651,0.7511,0.5861,0.1068,0.5959456209091885,5,0.55
0.005,0.5858585858585859,0.9674225942879023,1.0050155674244863,0.06060606060606061,2.8181818181818183,0.870560606060606,0.8379969696969697,0.8422000000000001,0.825,0.8496,0.8197,0.9651,0.7511,0.5861,0.1068,0.5959456209091885,5,0.6
0.01,0.5656565656565656,0.9705379675235393,1.0082520006219737,0.06060606060606061,2.8181818181818183,0.870560606060606,0.8379969696969697,0.8449121212121211,0.8237,0.854,0.8246,0.9666,0.7587,0.5861,0.0988,0.5911795881275773,3,0.6
0.01,0.5656565656565656,0.9705379675235393,1.0082520006219737,0.06060606060606061,2.8181818181818183,0.870560606060606,0.8379969696969697,0.8449121212121211,0.8237,0.854,0.8246,0.9666,0.7587,0.5861,0.0988,0.5911795881275773,3,0.55
0.01,0.5656565656565656,0.9705379675235393,1.0082520006219737,0.06060606060606061,2.8181818181818183,0.870560606060606,0.8379969696969697,0.8449121212121211,0.8237,0.854,0.8246,0.9666,0.7587,0.5861,0.0988,0.5911795881275773,3,0.65
0.005,0.5353535353535354,0.9627965260977775,1.0002097353357031,0.09090909090909091,2.727272727272727,0.870560606060606,0.8379969696969697,0.8381727272727273,0.8196,0.8461,0.8226,0.966,0.7251,0.5861,0.1052,0.5879626820130691,3,0.7
0.005,0.5353535353535354,0.9687592460448683,1.0064041599918998,0.04040404040404041,2.878787878787879,0.870560606060606,0.8379969696969697,0.8433636363636363,0.8188,0.8539,0.8246,0.9662,0.7587,0.5861,0.0989,0.5752889367240327,3,0.6
0.005,0.5353535353535354,0.9687592460448683,1.0064041599918998,0.04040404040404041,2.878787878787879,0.870560606060606,0.8379969696969697,0.8433636363636363,0.8188,0.8539,0.8246,0.9662,0.7587,0.5861,0.0989,0.5752889367240327,3,0.65
0.005,0.5353535353535354,0.9687592460448683,1.0064041599918998,0.04040404040404041,2.878787878787879,0.870560606060606,0.8379969696969697,0.8433636363636363,0.8188,0.8539,0.8246,0.9662,0.7587,0.5861,0.0989,0.5752889367240327,3,0.55
