year,metric,delta,abs_delta_robust_z,is_change_point
1853,entry_ratio,0.02499999999999991,1.2176038961039046,False
1877,amount_sum_real,-7353.892499999998,1.2157504759624764,False
1834,n_data_rows,46.0,1.2069999999999999,False
1867,amount_sum,-11939.660416666673,1.2026579076546953,False
1758,amount_median,-2.883333333333333,1.1909488448844874,False
1837,amount_median,-2.875,1.1850126512651256,False
1844,amount_sum_real,-7159.8405999999995,1.1613128139303466,False
1856,n_data_rows,-45.0,1.1596666666666666,False
1824,amount_sum_real,-7132.329300000001,1.153595028886941,False
1823,amount_median,-2.8291666666666657,1.1523635863586343,False
1834,amount_median,2.828125,1.151621562156215,False
1767,amount_sum_real,7121.278100000001,1.1504948196612157,False
1801,amount_sum_real,-7112.417100000001,1.1480090304302588,False
1733,entry_ratio,-0.02410000000000001,1.13876623376625,False
1863,entry_ratio,-0.02410000000000001,1.13876623376625,False
1873,entry_ratio,0.02410000000000001,1.13876623376625,False
1795,data_rows_per_page,4.350000000000001,1.1226107266436,False
1759,n_data_rows,-44.0,1.1123333333333334,False
1859,n_data_rows,-44.0,1.1123333333333334,False
1869,n_data_rows,44.0,1.1123333333333334,False
1811,amount_sum,-11390.839583333334,1.1100897682270021,False
1713,entry_ratio,-0.023700000000000054,1.1037272727272924,False
1842,amount_sum,-11292.404166666667,1.0934869302492958,False
1868,amount_median,2.725,1.078161166116611,False
1807,data_rows_per_page,-4.231999999999999,1.06753044982699,False
1769,amount_sum_real,-6813.3562999999995,1.0641130687959817,False
1705,entry_ratio,-0.0232,1.059928571428586,False
1825,data_rows_per_page,-4.196999999999999,1.0511930795847755,False
1711,entry_ratio,0.02310000000000001,1.0511688311688465,False
1866,amount_sum_real,6765.859399999998,1.0507886942870284,False
1773,data_rows_per_page,-4.139000000000003,1.024119723183393,False
1865,n_data_rows,-42.0,1.0176666666666667,False
1831,amount_median,-2.6359375000000007,1.0147180968096807,False
1867,amount_sum_real,-6619.3829000000005,1.009697428483142,False
1829,amount_sum,-10790.4375,1.0088215575704997,False
1745,data_rows_per_page,4.096,1.0040480968858139,False
1859,amount_sum,-10745.9375,1.0013158618054296,False
1844,amount_median,-2.6020833333333337,0.9906023102310226,False
1846,amount_median,2.602083333333333,0.9906023102310221,False
1842,amount_sum_real,-6546.4411,0.9892349591313072,False
1900,entry_ratio,0.022299999999999986,0.9810909090909219,False
1765,amount_median,-2.583333333333334,0.9772458745874585,False
1816,entry_ratio,-0.022199999999999998,0.9723311688311825,False
1835,n_data_rows,-41.0,0.9703333333333333,False
1800,amount_median,2.5703125,0.967970572057205,False
1859,amount_sum_real,-6446.579099999999,0.9612205268796641,False
1768,amount_sum_real,-6437.5574000000015,0.9586896562437408,False
1828,amount_sum,10489.901041666664,0.9581308784118096,False
1852,amount_median,-2.5562499999999986,0.9579532453245307,False
1855,amount_median,-2.5541666666666663,0.956469196919691,False
1882,data_rows_per_page,3.982999999999997,0.9513017301038055,False
1738,entry_ratio,0.02180000000000004,0.937292207792225,False
