term,pre,ind,post,delta_post_vs_pre,delta_ind_vs_pre,change
rates,0.0,0.0018148411168599867,0.0028151585460170145,0.0028151585460170145,0.0018148411168599867,industrial_vs_pre
domus,0.00018390381830302752,0.0019613810828176255,0.004609435421500387,0.004425531603197359,0.001777477264514598,industrial_vs_pre
land tax,0.0008505551596515022,0.002626447082163832,0.0013302397525135343,0.0004796845928620321,0.0017758919225123295,industrial_vs_pre
trien,0.0004597595457575688,0.0021868271842909156,0.0,-0.0004597595457575688,0.0017270676385333467,industrial_vs_pre
parish,0.0,0.0017246626762706706,0.000897138437741686,0.000897138437741686,0.0017246626762706706,industrial_vs_pre
pro dim,0.0007356152732121101,0.002412273285764206,0.0,-0.0007356152732121101,0.001676658012552096,industrial_vs_pre
dno rectori,2.298797728787844e-05,0.0016570288458286834,0.001794276875483372,0.0017712888981954937,0.001634040868540805,industrial_vs_pre
rectori ut,0.0,0.0015668504052393673,0.0001237432327919567,0.0001237432327919567,0.0015668504052393673,industrial_vs_pre
dim,0.0017930622284545183,0.003314057691657367,3.093580819798917e-05,-0.0017621264202565292,0.0015209954632028485,industrial_vs_pre
gardiner,0.00013792786372727065,0.001645756540755019,6.187161639597834e-05,-7.60562473312923e-05,0.0015078286770277484,industrial_vs_pre
tew,0.0002758557274545413,0.0017810242016389932,0.002753286929621036,0.002477431202166495,0.001505168474184452,industrial_vs_pre
benefaction,0.00018390381830302752,0.001668301150902348,0.00040216550657385926,0.00021826168827083174,0.0014843973325993204,industrial_vs_pre
augment,0.0007126272959242316,0.0021868271842909156,0.0017014694508894045,0.0009888421549651728,0.0014741998883666839,industrial_vs_pre
stip,0.0002758557274545413,0.0017472072864179995,0.0004331013147718484,0.00015724558731730712,0.0014713515589634583,industrial_vs_pre
garsington,0.0003448196593181766,0.0017359349813443352,0.002010827532869296,0.0016660078735511196,0.0013911153220261586,industrial_vs_pre
poor rates,0.0,0.0013752212189870707,9.280742459396752e-05,9.280742459396752e-05,0.0013752212189870707,industrial_vs_pre
half,0.0009195190915151376,0.0022657333198065673,0.0007424593967517402,-0.00017705969476339745,0.0013462142282914297,industrial_vs_pre
wittenham,0.000574699432196961,0.0019050195574493028,0.0022583139984532095,0.0016836145662562484,0.0013303201252523418,industrial_vs_pre
july,0.0006436633640605963,0.0019613810828176255,0.0010208816705336427,0.0003772183064730464,0.001317717718757029,industrial_vs_pre
soluta,0.0002298797728787844,0.0015330334900183738,0.0004949729311678268,0.00026509315828904235,0.0013031537171395895,industrial_vs_pre
little,0.0014252545918484632,0.0027278978278268123,0.003557617942768755,0.002132363350920292,0.001302643235978349,industrial_vs_pre
pro ann,0.0012643387508333142,0.0025362686415745157,0.0,-0.0012643387508333142,0.0012719298907412015,industrial_vs_pre
shiers,0.0002298797728787844,0.0014879442697237157,0.00040216550657385926,0.00017228573369507485,0.0012580644968449312,industrial_vs_pre
napier,2.298797728787844e-05,0.00127377047332409,0.0,-2.298797728787844e-05,0.0012507824960362117,industrial_vs_pre
supra,4.597595457575688e-05,0.0012624981682504254,0.0001237432327919567,7.776727821619981e-05,0.0012165222136746685,industrial_vs_pre
gwinear,0.00043677156846969034,0.001645756540755019,0.0009280742459396752,0.0004913026774699848,0.0012089849722853288,industrial_vs_pre
yarnton,0.0003448196593181766,0.0015443057950920384,0.0030626450116009282,0.0027178253522827517,0.0011994861357738618,industrial_vs_pre
ut supra,2.298797728787844e-05,0.001206136642882103,0.0001237432327919567,0.00010075525550407824,0.0011831486655942247,industrial_vs_pre
richards,0.00013792786372727065,0.0012963150834714192,0.003031709203402939,0.0028937813396756685,0.0011583872197441485,industrial_vs_pre
rectory year,0.0,0.0011497751175137804,3.093580819798917e-05,3.093580819798917e-05,0.0011497751175137804,industrial_vs_pre
repairs,2.298797728787844e-05,0.0011497751175137804,0.005537509667440062,0.005514521690152183,0.001126787140225902,industrial_vs_pre
payment,6.896393186363533e-05,0.0011948643378084385,0.0024748646558391337,0.0024059007239754984,0.0011259004059448032,industrial_vs_pre
tenement,0.0006436633640605963,0.001758479591491664,0.0008662026295436968,0.00022253926548310057,0.0011148162274310677,industrial_vs_pre
lighting,0.0005976874094848394,0.0017021180661233415,0.0,-0.0005976874094848394,0.001104430656638502,industrial_vs_pre
curtis,4.597595457575688e-05,0.0011385028124401158,6.187161639597834e-05,1.5895661820221465e-05,0.0010925268578643589,industrial_vs_pre
michl,0.0002988437047424197,0.0013752212189870707,0.0004331013147718484,0.0001342576100294287,0.001076377514244651,industrial_vs_pre
paving,2.298797728787844e-05,0.0010821412870717932,9.280742459396752e-05,6.981944730608908e-05,0.0010591533097839148,industrial_vs_pre
