year,n_pages,n_data_rows,n_entry_rows,n_total_rows,amount_sum,amount_mean,amount_median,amount_p90,amount_max,era
1877,9,265.0,247.0,18.0,45681.25208333333,172.38208333333333,6.25,222.2912499999998,5801.936458333333,post_1840
1878,8,262.0,239.0,23.0,54821.63125,209.2428673664122,7.216666666666667,205.56875000000002,7036.140625,post_1840
1879,9,282.0,255.0,27.0,244768.7270833333,867.9742095153663,5.75,105.49000000000001,154217.30104166665,post_1840
1880,8,256.0,241.0,15.0,26998.283333333333,105.46204427083333,5.5125,113.875,5386.515625,post_1840
1881,12,341.0,316.0,25.0,67387.74583333333,197.618022971652,5.625,178.10833333333332,7779.5375,post_1840
1882,10,324.0,286.0,38.0,51976.51875,160.42135416666667,9.729166666666666,219.25624999999997,4860.003125,post_1840
1883,5,229.0,170.0,59.0,179522.4125,783.9406659388646,85.20833333333334,1808.6058333333335,19875.75,post_1840
1884,5,247.0,157.0,90.0,241913.69166666668,979.4076585695008,113.82916666666667,2976.75,20564.404166666667,post_1840
1885,1,68.0,54.0,14.0,164174.9875,2414.338051470588,238.79166666666669,8741.928750000043,16278.841666666665,post_1840
1886,1,86.0,73.0,13.0,111173.75,1292.718023255814,107.74166666666667,4338.289583333333,14498.783333333333,post_1840
1889,5,243.0,173.0,70.0,232558.525,957.0309670781893,105.90833333333335,2722.673333333333,15418.129166666668,post_1840
1891,8,498.0,316.0,182.0,668077.540625,1341.5211659136546,136.11666666666665,2853.599687500001,22317.0,post_1840
1892,4,303.0,198.0,105.0,280036.74583333335,924.2136826182618,115.33749999999999,2642.75,14827.808333333332,post_1840
1893,10,408.0,289.0,119.0,452699.68333333335,1109.558047385621,113.81666666666666,3246.4416666666666,14280.179166666667,post_1840
1894,6,114.0,91.0,23.0,179383.45416666666,1573.5390716374268,238.60208333333333,4580.971666666666,14193.933333333332,post_1840
1895,6,108.0,87.0,21.0,205113.01666666666,1899.1945987654321,314.88541666666663,5528.95,14300.758333333333,post_1840
1896,6,113.0,91.0,22.0,197735.8875,1749.875110619469,214.25,6402.481666666663,14494.4125,post_1840
1897,6,112.0,87.0,25.0,199150.14583333334,1778.1263020833335,156.06875,7426.274583333338,15727.629166666668,post_1840
1898,6,109.0,88.0,21.0,231041.3,2119.64495412844,182.475,7790.070000000001,15725.216666666667,post_1840
1899,6,109.0,86.0,23.0,204457.9125,1875.7606651376148,144.98333333333332,8467.738333333335,15883.05,post_1840
1900,6,106.0,86.0,20.0,218772.40416666667,2063.890605345912,225.08333333333334,8658.322916666668,16002.779166666667,post_1840
