year,rank,term,tfidf
1783,3,ann,0.3446274509333432
1783,4,dimid,0.21097893736595288
1783,5,dimid ann,0.19430758461693162
1783,6,pro bien,0.19021512446711214
1783,7,bien,0.18713669209545025
1783,8,pro dimid,0.1540528879116709
1783,9,mr,0.1235178852538286
1783,10,ann dimid,0.11437000753954073
1783,11,trien,0.09082740778706852
1783,12,pro trien,0.08900313950738269
1783,13,rect pro,0.07855547436265206
1783,14,rect,0.07710290636432818
1783,15,coti,0.0704834632518567
1784,1,pro,0.6185773064842679
1784,2,pro ann,0.1948492536269977
1784,3,mr,0.18960638880677994
1784,4,ann,0.16694945682845455
1784,5,anno,0.14896276089413732
1784,6,1784,0.14673756305198835
1784,7,pro anno,0.14596023746135967
1784,8,pro bien,0.13975595762006368
1784,9,bien,0.13749415396341177
1784,10,pro trien,0.12845034321274418
1784,11,trien,0.12099982886978859
1784,12,ad,0.11531505398722415
1784,13,rect,0.10621780087569878
1784,14,rect pro,0.0971761320424522
1784,15,ad festum,0.09441114165701167
1785,1,pro,0.45535459898510333
1785,2,pro anno,0.31155154880512503
1785,3,anno,0.3020624020222287
1785,4,1785,0.24095666746039518
1785,5,mr,0.20505513690521526
1785,6,1786,0.18703156047075395
1785,7,1784,0.17002869133704904
1785,8,rect,0.13538510954086996
1785,9,rect pro,0.1289788138092236
1785,10,ad,0.12606624420952628
1785,11,poor rates,0.11598835075117099
1785,12,1785 mr,0.10801048965720988
1785,13,dim,0.0926134590691864
1785,14,bien,0.08762495995068435
1785,15,months poor,0.08512312184547136
1786,1,pro,0.3966359439316624
1786,2,1786,0.3894471228585322
1786,3,anno,0.31134039561091165
1786,4,pro anno,0.31092668849673943
1786,5,1785,0.20942867399684353
1786,6,mr,0.18064402150900521
1786,7,1787,0.14602527582583394
1786,8,ad,0.1397187421653676
1786,9,rect,0.11074883256039339
1786,10,anno ad,0.10431503473559073
1786,11,rect pro,0.09964672988051318
1786,12,1785 mr,0.08835562252288424
1786,13,tricn,0.08835562252288424
1786,14,pro tricn,0.08835562252288424
1786,15,poor rates,0.0875831423856378
1787,1,pro,0.488780306322663
1787,2,anno,0.31645390653529515
1787,3,pro anno,0.3156936750806744
1787,4,1786,0.24821332514924935
1787,5,1787,0.23690268027116107
1787,6,olim,0.1448904195329454
1787,7,mr,0.14222323707295792
1787,8,ad,0.12920901141099156
1787,9,rect,0.12682749672050916
1787,10,brickland,0.11148361424525227
1787,11,87,0.10681867494489623
1787,12,gardiner olim,0.09754816246459574
1787,13,michaels parish,0.09374285138527436
1787,14,tricn,0.09275127619376736
1787,15,pro tricn,0.09275127619376736
1788,1,pro,0.5820118639460945
1788,2,pro anno,0.22349921135367296
1788,3,anno,0.21669193714646587
1788,4,pro annus,0.21166569885160122
1788,5,annus,0.1964275303365787
1788,6,1788,0.1411104659010675
1788,7,mr,0.13287128909929
1788,8,brickland,0.12347165766343406
1788,9,1787,0.12347165766343406
1788,10,olim,0.12226343601142423
1788,11,ad,0.11492449748652947
1788,12,rect,0.10702133087723736
1788,13,pro annis,0.10599258470292838
1788,14,annis,0.10474724557992499
1788,15,stip,0.09927598205537078
1789,1,pro,0.4450628903268514
1789,2,1790,0.3327417680719409
1789,3,pro annus,0.21868344084059274
1789,4,mr,0.21698561755080145
1789,5,annus,0.20294005331463272
1789,6,1789,0.20045982077054336
1789,7,rect,0.13821200722738639
1789,8,ad,0.11416807750102571
1789,9,anno,0.10176196511484835
1789,10,wm,0.0984000663217853
1789,11,pro anno,0.097961517620701
1789,12,stip,0.09324314652125226
1789,13,1788,0.09111810035024698
1789,14,coll,0.08204511030328696
1789,15,parish,0.0729394634459126
1790,1,pro,0.4751108350234233
1790,2,1790,0.43544640679846786
1790,3,1791,0.22042258132080822
1790,4,mr,0.15729605138264585
1790,5,rect,0.15341885883964998
1790,6,pro trien,0.15112351139972385
1790,7,1789,0.14564652354275606
1790,8,trien,0.1423578836786938
1790,9,ad,0.1297709901904753
1790,10,months,0.11141094845089163
1790,11,stip,0.09108200170430154
1790,12,coll,0.08014350818556257
1790,13,mich,0.07314804286248869
1790,14,anno,0.07229336379385379
1790,15,parish,0.07196859356856189
1791,1,pro,0.5481353971219467
1791,2,1791,0.35273413903288936
1791,3,1790,0.21568511959385256
1791,4,pro trien,0.1702938285281795
1791,5,trien,0.1604162635467872
1791,6,ad,0.15748136670788657
1791,7,stip,0.14928863164198933
1791,8,angm,0.12496955950862616
1791,9,rect,0.11064342101950843
1791,10,months,0.10301017289151128
1791,11,months parish,0.08977617717586057
1791,12,semestri ad,0.08627404783754103
1791,13,gwin,0.08627404783754103
1791,14,sol,0.08400418349546855
1791,15,coll,0.08083680773291
1792,1,1792,0.3957205090916007
1792,2,pro,0.28784171665551583
1792,3,1793,0.26381367272773376
1792,4,92,0.2374323054549604
1792,5,93,0.19357587686448208
1792,6,rec,0.18766648525037177
1792,7,pro rec,0.18466957090941363
1792,8,ad,0.16405352121983993
1792,9,rect,0.1432235937509398
1792,10,stip,0.14171542869395795
1792,11,angm,0.14019912516915628
1792,12,mr,0.12848774062533053
1792,13,offic,0.09630302624427343
1792,14,deb,0.09599579175825819
1792,15,div ad,0.09058856177125572
1793,1,1793,0.3307926407982831
1793,2,1792,0.26463411263862646
1793,3,pro,0.24061406825479648
1793,4,1794,0.22052842719885538
1793,5,92,0.1764227417590843
1793,6,93,0.16181490226482786
1793,7,half,0.1605613799569095
1793,8,pro rec,0.15436989903919876
1793,9,mr,0.15343729459542602
1793,10,ad,0.13713642904468776
1793,11,stip,0.12923286600474826
1793,12,rec,0.12919125426491904
1793,13,years,0.12147795199492742
1793,14,rect,0.11972417328141824
1793,15,year,0.11544346852414882
1794,1,1794,0.4525517598407566
1794,2,1795,0.3970334074900516
1794,3,years,0.22761066004730013
1794,4,year,0.21536759561125682
1794,5,half,0.16587693951767102
1794,6,mr,0.14602778508124548
1794,7,stip,0.13452270989687873
1794,8,pro,0.13173705356138055
1794,9,rectory,0.10660641679488686
1794,10,angm,0.10456550173628627
1794,11,1793,0.0983808173566862
1794,12,ut supra,0.0867803510613174
1794,13,rect,0.08545700651396544
1794,14,half year,0.08503218396368181
1794,15,anni parte,0.08463554813927951
1795,1,1795,0.4280802424079469
1795,2,year,0.3516783977743602
1795,3,1794,0.252809474750385
1795,4,years,0.24638298438841053
1795,5,mr,0.23453001711391805
1795,6,alin,0.123536051669349
1795,7,rectory,0.11853468248316283
1795,8,money,0.10827414565112312
1795,9,angm,0.10334702935774488
1795,10,rectory year,0.10183472424758257
1795,11,half,0.09687601311873428
1795,12,ad,0.09302397601264495
1795,13,plate money,0.08951239515249458
1795,14,years divd,0.08918338383498894
1795,15,stip,0.08547117081318902
1796,1,year,0.4065933222095687
1796,2,years,0.23845330969413855
1796,3,1796,0.22783312779956272
1796,4,mr,0.21664358149580878
1796,5,1797,0.19570605541842503
1796,6,alin,0.14473067751243884
1796,7,2do,0.12370343969854447
1796,8,rectory,0.11572603484762413
1796,9,half,0.10476616083816656
1796,10,ad,0.10353456943714069
1796,11,money,0.10148027394698174
1796,12,late,0.09740425603917353
1796,13,ct,0.0963083497625924
1796,14,vice,0.0963083497625924
1796,15,rectory year,0.0927936591503902
1797,1,1797,0.3731487754041478
1797,2,years,0.25574293128627146
1797,3,year,0.22675865334925308
1797,4,1796,0.17104689557726233
1797,5,mr,0.15301218542412492
1797,6,2do,0.13267285037594906
1797,7,ut prius,0.1258590588813067
1797,8,prius,0.1258590588813067
1797,9,half,0.1123624792909314
1797,10,kidlington,0.09882763708150921
1797,11,ut,0.09546282737867817
1797,12,shortrudges benefaction,0.08964810129048778
1797,13,shortrudges,0.08657129237097567
1797,14,ct,0.08607617883776957
1797,15,1798,0.08390603925420446
1798,1,years,0.31717109931491866
1798,2,mr,0.26139410739721247
1798,3,1798,0.2103337365259646
1798,4,1797,0.18708015992283775
1798,5,ut prius,0.1472336155681752
1798,6,prius,0.1472336155681752
1798,7,year,0.13992206673810753
1798,8,ut,0.11965201408839225
1798,9,half,0.11266707533640927
1798,10,tax,0.0972112675490532
1798,11,rectory,0.0912658894212488
1798,12,shortrudges benefaction,0.08989112242449977
1798,13,rectori ut,0.08833128371716695
1798,14,shortrudges,0.08680597278631104
1798,15,year half,0.08224372884604081
1799,1,mr,0.29084253638247526
1799,2,years,0.23549640935288146
1799,3,1799,0.16321357643029
1799,4,1798,0.14680047909519992
1799,5,year,0.1288533921389063
1799,6,tax,0.12014697206681202
1799,7,rectori ut,0.11742857063118489
1799,8,ut,0.11134668350085494
1799,9,half,0.10921519369130821
1799,10,mich,0.1075865995954075
1799,11,rectori,0.10296776360170325
1799,12,shortrudges,0.1009757049584726
1799,13,kidlington,0.09990184248144982
1799,14,ad,0.09543399258794065
1799,15,ut supra,0.09427627039405634
1800,1,years,0.20765217442385014
1800,2,mr,0.2028320986712546
1800,3,1800,0.2014821193585201
1800,4,cents,0.1637413973011866
1800,5,1799,0.14391579954180006
1800,6,rectori ut,0.12425309463387035
1800,7,rectori,0.1210576419754262
1800,8,ut,0.11781775021048589
1800,9,year,0.11481421933905533
1800,10,michl,0.11212670614506676
1800,11,ad,0.10819314774487028
1800,12,half,0.10400614732698552
1800,13,com,0.10314415848615714
1800,14,ut supra,0.09975526640609705
1800,15,poors,0.09972630760221317
1801,1,years,0.32326482037679827
1801,2,mr,0.2286545998733625
1801,3,1801,0.21530271319157995
1801,4,michl,0.1745544905657578
1801,5,pr cent,0.1566930094663168
1801,6,year,0.13405372985253616
1801,7,tent,0.12607107788855698
1801,8,dno rectori,0.11663143417339614
1801,9,padbury,0.10924552807806386
1801,10,half,0.10794181384335537
1801,11,dno,0.10387964953049485
1801,12,ut supra,0.10353007656795915
1801,13,mr heyes,0.1009712990563901
1801,14,supra,0.09948961143937815
1801,15,rectori ut,0.09671619001709338
1802,1,years,0.5676882986023197
1802,2,mr,0.16296364761254922
1802,3,michl,0.15239752324789588
1802,4,rectory half,0.111501079524863
1802,5,year,0.11146447788830073
1802,6,half,0.10770318381085879
1802,7,ut supra,0.10330119968831325
1802,8,supra,0.09926966693070699
1802,9,1803,0.09919204597160727
1802,10,rectori ut,0.09650237678990213
1802,11,tent,0.09434427673298863
1802,12,gardiner,0.09392179210839659
1802,13,augm com,0.09160905298990464
1802,14,ut,0.09150430383125119
1802,15,half year,0.08997353287813707
1803,1,1803,0.3174569113936978
1803,2,stock,0.17997108270435636
1803,3,years,0.1754907113425888
1803,4,cents,0.1744297028768745
1803,5,consols,0.1417442228396701
1803,6,power,0.1394588505555868
1803,7,mr,0.13038831827135403
1803,8,year,0.12485687725133632
1803,9,ap,0.11293260861042058
1803,10,tax,0.11152887792156323
1803,11,dno,0.11057475591196272
1803,12,kiddlington,0.10747896048683311
1803,13,heyes,0.10221769232165873
1803,14,rectory,0.10153487905121913
1803,15,feb,0.09614232908059687
1804,1,tax,0.2290531345036935
1804,2,years,0.2250556153925482
1804,3,ap,0.21409482021677723
1804,4,property tax,0.1975242143247745
1804,5,prop tax,0.1852728906348449
1804,6,prop,0.18022275439726723
1804,7,property,0.17811519179161303
1804,8,poor rate,0.16536839337169887
1804,9,rate,0.1638070329234882
1804,10,michl,0.14860284699675383
1804,11,poor,0.14267492959580555
1804,12,13,0.14019912494842193
1804,13,ded,0.13339008581312464
1804,14,st michl,0.13219130375503316
1804,15,mr,0.12359345941867156
1805,1,tax ded,0.3645629802780711
1805,2,ded,0.32741910692258874
1805,3,prop tax,0.21926437846196142
1805,4,prop,0.2132877081596499
1805,5,tax,0.20388686798524575
1805,6,years,0.1852841224707787
1805,7,mr,0.1646878321033162
1805,8,hewington,0.1339658047417542
1805,9,rectory,0.10124550308146765
1805,10,half,0.10024985777506644
1805,11,ut prius,0.09624986789319527
1805,12,prius,0.09624986789319527
1805,13,dno rectori,0.09284593196229728
1805,14,rectori,0.09001454404877127
1805,15,years half,0.08895851120212986
1806,1,tax ded,0.39145736435661316
1806,2,ded,0.3477098859039067
1806,3,prop tax,0.2656244532647618
1806,4,prop,0.2583841081045895
1806,5,tax,0.25720203506925926
1806,6,property tax,0.16018776849608637
1806,7,property,0.1444474805576904
1806,8,poor rate,0.12932046225371305
1806,9,years,0.11222979782482058
1806,10,rate,0.1024795647398485
1806,11,ut,0.09045024835254119
1806,12,rectory,0.08780790010116586
1806,13,mr,0.08591276712651959
1806,14,kidlington,0.0799047492542334
1806,15,rectori ut,0.07631259804657259
1807,1,ded,0.3401549052858379
1807,2,rectory,0.20708041775991928
1807,3,kidlington,0.18320763890791775
1807,4,rectori,0.1636528049258576
1807,5,mich mas,0.1581108595019433
1807,6,mr,0.14182774193302777
1807,7,recepta,0.11454001455701933
