era,term,relative_freq
industrial_1760_1840,1841,1.1272305073664513e-05
post_1840,1841,0.0009280742459396752
pre_1760,185,0.0
industrial_1760_1840,185,1.1272305073664513e-05
post_1840,185,0.0001237432327919567
pre_1760,186,0.0
industrial_1760_1840,186,1.1272305073664513e-05
post_1840,186,9.280742459396752e-05
pre_1760,1866,0.0
industrial_1760_1840,1866,2.2544610147329026e-05
post_1840,1866,0.0005259087393658159
pre_1760,1876,0.0
industrial_1760_1840,1876,1.1272305073664513e-05
post_1840,1876,0.00027842227378190254
pre_1760,188,0.0
industrial_1760_1840,188,1.1272305073664513e-05
post_1840,188,0.0001237432327919567
pre_1760,1881,0.0
industrial_1760_1840,1881,1.1272305073664513e-05
post_1840,1881,0.0002474864655839134
pre_1760,18th,0.00016091584101514907
industrial_1760_1840,18th,4.508922029465805e-05
post_1840,18th,3.093580819798917e-05
pre_1760,19,0.0007126272959242316
industrial_1760_1840,19,0.0009919628464824773
post_1840,19,0.002010827532869296
pre_1760,19 10,0.0
industrial_1760_1840,19 10,1.1272305073664513e-05
post_1840,19 10,9.280742459396752e-05
pre_1760,19 11,2.298797728787844e-05
industrial_1760_1840,19 11,0.0
post_1840,19 11,0.0002474864655839134
pre_1760,19 13,0.0
industrial_1760_1840,19 13,1.1272305073664513e-05
post_1840,19 13,0.0001237432327919567
pre_1760,19 mich,6.896393186363533e-05
industrial_1760_1840,19 mich,0.0
post_1840,19 mich,3.093580819798917e-05
pre_1760,19 mr,4.597595457575688e-05
industrial_1760_1840,19 mr,9.01784405893161e-05
post_1840,19 mr,0.0
pre_1760,197,0.0
industrial_1760_1840,197,9.01784405893161e-05
post_1840,197,0.00015467904098994585
pre_1760,199,2.298797728787844e-05
industrial_1760_1840,199,2.2544610147329026e-05
post_1840,199,3.093580819798917e-05
pre_1760,1d,4.597595457575688e-05
industrial_1760_1840,1d,2.2544610147329026e-05
post_1840,1d,0.0
pre_1760,1s,0.0002988437047424197
industrial_1760_1840,1s,4.508922029465805e-05
post_1840,1s,6.187161639597834e-05
pre_1760,1st,0.0002988437047424197
industrial_1760_1840,1st,0.0005748875587568902
post_1840,1st,0.0020726991492652745
pre_1760,1st 2nd,0.0
industrial_1760_1840,1st 2nd,1.1272305073664513e-05
post_1840,1st 2nd,0.00018561484918793505
pre_1760,1st half,0.0
industrial_1760_1840,1st half,6.763383044198708e-05
post_1840,1st half,9.280742459396752e-05
pre_1760,1st payment,0.0
industrial_1760_1840,1st payment,0.00013526766088397415
post_1840,1st payment,0.00040216550657385926
pre_1760,1st qr,0.0
industrial_1760_1840,1st qr,4.508922029465805e-05
post_1840,1st qr,6.187161639597834e-05
pre_1760,1st quarter,0.0
industrial_1760_1840,1st quarter,1.1272305073664513e-05
post_1840,1st quarter,9.280742459396752e-05
pre_1760,1yr,0.0
industrial_1760_1840,1yr,0.00010145074566298062
post_1840,1yr,0.00040216550657385926
pre_1760,20,0.0008735431369393807
industrial_1760_1840,20,0.0012174089479557674
post_1840,20,0.0006496519721577726
pre_1760,20 10,0.0
industrial_1760_1840,20 10,1.1272305073664513e-05
post_1840,20 10,9.280742459396752e-05
pre_1760,20 mr,0.0001149398864393922
industrial_1760_1840,20 mr,0.0001803568811786322
post_1840,20 mr,0.0
pre_1760,20 pd,0.00016091584101514907
industrial_1760_1840,20 pd,5.636152536832257e-05
post_1840,20 pd,0.0
pre_1760,20 recd,2.298797728787844e-05
industrial_1760_1840,20 recd,4.508922029465805e-05
post_1840,20 recd,0.0
pre_1760,20 yrs,2.298797728787844e-05
industrial_1760_1840,20 yrs,3.381691522099354e-05
post_1840,20 yrs,3.093580819798917e-05
pre_1760,200,0.00013792786372727065
industrial_1760_1840,200,7.890613551565159e-05
post_1840,200,0.0013302397525135343
pre_1760,2000,2.298797728787844e-05
industrial_1760_1840,2000,4.508922029465805e-05
post_1840,2000,0.0001237432327919567
pre_1760,20th,6.896393186363533e-05
industrial_1760_1840,20th,1.1272305073664513e-05
post_1840,20th,0.0
pre_1760,21,0.00036780763660605503
industrial_1760_1840,21,0.0007439721348618579
post_1840,21,0.0003402938901778809
pre_1760,212,0.0
industrial_1760_1840,212,1.1272305073664513e-05
post_1840,212,9.280742459396752e-05
pre_1760,217,4.597595457575688e-05
industrial_1760_1840,217,2.2544610147329026e-05
post_1840,217,3.093580819798917e-05
pre_1760,21st,0.0001149398864393922
industrial_1760_1840,21st,0.0
post_1840,21st,3.093580819798917e-05
pre_1760,22,0.0005287234776212041
industrial_1760_1840,22,0.000879239795745832
post_1840,22,0.0003402938901778809
pre_1760,22 mr,2.298797728787844e-05
industrial_1760_1840,22 mr,0.00021417379639962576
