year,n_educational,n_scholarship,n_prize,scholar_income,scholar_expenditure,scholarship_intensity,prize_intensity,scholar_income_share,era
1741,3.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0045871559633027525,0.0,0.0,pre_industrial
1742,3.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0045871559633027525,0.0,0.0,pre_industrial
1743,2.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.006756756756756758,0.0,0.0,pre_industrial
1744,6.114285714285714,1.0142857142857142,0.0,0.0,1.0142857142857142,0.1658878504672897,0.0,0.0,pre_industrial
1745,7.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0020080321285140565,0.0,0.0,pre_industrial
1746,17.114285714285717,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0008347245409015023,0.0,0.0,pre_industrial
1747,7.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0020080321285140565,0.0,0.0,pre_industrial
1748,9.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.001567398119122257,0.0,0.0,pre_industrial
1749,8.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0017605633802816902,0.0,0.0,pre_industrial
1750,3.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0045871559633027525,0.0,0.0,pre_industrial
1751,5.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.002793296089385475,0.0,0.0,pre_industrial
1752,7.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0020080321285140565,0.0,0.0,pre_industrial
1753,3.114285714285714,1.0142857142857142,0.0,0.0,1.0142857142857142,0.32568807339449546,0.0,0.0,pre_industrial
1754,7.114285714285714,1.0142857142857142,0.0,0.0,1.0142857142857142,0.142570281124498,0.0,0.0,pre_industrial
1755,3.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0045871559633027525,0.0,0.0,pre_industrial
1756,10.114285714285714,5.014285714285714,0.0,0.0,5.014285714285714,0.4957627118644068,0.0,0.0,pre_industrial
1757,5.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.002793296089385475,0.0,0.0,pre_industrial
1758,6.114285714285714,5.014285714285714,0.0,0.0,5.014285714285714,0.8200934579439253,0.0,0.0,pre_industrial
1759,3.114285714285714,0.5142857142857142,0.0,0.0,0.5142857142857142,0.1651376146788991,0.0,0.0,pre_industrial
