year,place_cluster,category,n_entries,amount_real,era
1788,oxfordshire,educational,0.5,0.7300792657488528,transition
1788,oxfordshire,land_rent,2.5,105.54570527974784,transition
1788,oxfordshire,other,0.5,8.928623163213276,transition
1789,other,administrative,7.0,12.97632228450165,transition
1789,other,charitable,0.5,1.8164832883537474,transition
1789,other,domestic,0.5,0.12542384610061588,transition
1789,other,ecclesiastical,5.0,42.021313403916686,transition
1789,other,educational,0.5,0.5362950660853921,transition
1789,other,financial,0.5,0.864992042073213,transition
1789,other,land_rent,59.0,652.7464218162527,transition
1789,other,maintenance,6.0,4.392717920328467,transition
1789,other,other,0.5,0.0,transition
1789,other,salary_stipend,1.0,0.5045786912093744,transition
1789,oxford_local,administrative,5.0,28.14107443544853,transition
1789,oxford_local,ecclesiastical,5.0,143.94044241459648,transition
1789,oxford_local,land_rent,4.5,94.60706294835423,transition
1789,oxford_local,other,0.5,0.5881945886097848,transition
1789,oxfordshire,ecclesiastical,5.5,195.66768735727635,transition
1789,oxfordshire,land_rent,2.0,39.99723202546537,transition
1789,oxfordshire,other,0.5,8.885991165547944,transition
1790,other,administrative,5.5,4.617194674012856,transition
1790,other,charitable,0.5,1.8078512396694215,transition
1790,other,domestic,1.0,76.2741046831956,transition
1790,other,ecclesiastical,4.5,16.27640036730946,transition
1790,other,educational,1.5,14.11558769513315,transition
1790,other,financial,0.5,0.8608815426997245,transition
1790,other,land_rent,56.0,730.7069272268136,transition
1790,other,maintenance,3.0,2.424816345270891,transition
1790,other,other,0.5,0.0,transition
1790,other,salary_stipend,0.5,0.45913682277318646,transition
1790,oxford_local,administrative,4.5,5.136593204775023,transition
1790,oxford_local,ecclesiastical,6.0,85.05509641873279,transition
1790,oxford_local,educational,1.0,17.56198347107438,transition
1790,oxford_local,financial,1.0,62.046602387511484,transition
1790,oxford_local,land_rent,4.0,2.252640036730946,transition
1790,oxford_local,other,0.5,0.5853994490358126,transition
1790,oxford_local,salary_stipend,0.5,10.330578512396695,transition
1790,oxfordshire,ecclesiastical,3.5,93.28978707529843,transition
1790,oxfordshire,land_rent,1.0,0.0,transition
1791,london,land_rent,1.0,11.698229815035537,transition
1791,other,administrative,4.0,2.240321370237938,transition
1791,other,domestic,1.0,73.33465766123693,transition
