year,income,expenditure,trad_income,new_income,committed_exp,discretionary_exp,hi_spend,hi_share,arrears,balance_items,n_balance_rows,n_inc_rows,income_incomplete,observed
1777,,,,,,,,,,,,,False,False
1778,,,,,,,,,,,,,False,False
1779,,,,,,,,,,,,,False,False
1780,,,,,,,,,,,,,False,False
1781,,,,,,,,,,,,,False,False
1782,,,,,,,,,,,,,False,False
1783,,,,,,,,,,,,,False,False
1784,,,,,,,,,,,,,False,False
1785,,,,,,,,,,,,,False,False
1786,,,,,,,,,,,,,False,False
1787,,,,,,,,,,,,,False,False
1788,,,,,,,,,,,,,False,False
1789,,,,,,,,,,,,,False,False
1790,,,,,,,,,,,,,False,False
1791,,,,,,,,,,,,,False,False
1792,,,,,,,,,,,,,False,False
1793,,,,,,,,,,,,,False,False
1794,,,,,,,,,,,,,False,False
1795,,,,,,,,,,,,,False,False
1796,,,,,,,,,,,,,False,False
1797,,,,,,,,,,,,,False,False
1798,,,,,,,,,,,,,False,False
1799,,,,,,,,,,,,,False,False
1800,2242.913696329072,2085.8540232710584,1161.5725376925598,1081.3411586365123,1386.3881719108488,699.4658513602096,130.82186168469354,0.06271860840939258,449.7879793510324,1590.831387250082,2.0,76.0,False,True
1801,2297.7040269575155,1937.4126817806566,1248.1350614402743,1049.5689655172412,1414.3894471962913,523.0232345843654,166.54759636756208,0.08596392391449087,596.8716263415254,288.51626500285766,1.0,88.0,False,True
1802,1088.2635938173532,1134.1643766549664,1037.4599729047354,50.803620912617816,642.7216115524355,491.44276510253087,222.44288441406493,0.1961293168721487,77.37304867910586,,,68.0,False,True
1803,1889.0182333691948,1768.8572111649032,797.8009570557647,1091.2172763134301,1026.9928388918772,741.864372273026,456.61636707309776,0.25814201632046224,395.83473417608025,65.46885272846811,1.0,92.0,False,True
1804,1658.4323107182256,1239.2594568309817,830.3966716019276,828.0356391162981,740.1276635893862,499.13179324159546,192.5101063984207,0.15534285846057214,316.0363322301573,215.12339966904716,1.0,84.0,False,True
1805,2044.13500211685,1391.5246613039797,1140.0230207451311,904.1119813717189,961.8649449618966,429.659716342083,106.15121366073949,0.07628410520677842,196.66463801862827,,,115.0,False,True
1806,1383.0944142362828,1520.2875267754162,655.3184386499698,727.7759755863129,883.0249011369253,637.2626256384908,240.18663838084254,0.1579876399369578,456.3384790190586,157.04725517658042,1.0,82.0,False,True
