year,modern_function_share,t,D54,t_post54,D77,t_post77,fitted,counterfactual
1757,0.2678858548305687,57,0.0,-0.0,0.0,-0.0,0.24040124112600877,0.24040124112600877
1758,0.140063482539457,58,0.0,-0.0,0.0,-0.0,0.24106814139253804,0.24106814139253804
1759,0.2003675898758916,59,0.0,-0.0,0.0,-0.0,0.24173504165906734,0.24173504165906734
1760,0.2003675898758916,60,0.0,-0.0,0.0,-0.0,0.24240194192559664,0.24240194192559664
1761,0.4103300027423358,61,0.0,-0.0,0.0,-0.0,0.2430688421921259,0.2430688421921259
1762,0.4178694056994687,62,0.0,-0.0,0.0,-0.0,0.2437357424586552,0.2437357424586552
1763,0.2835313591566319,63,0.0,-0.0,0.0,-0.0,0.2444026427251845,0.2444026427251845
1764,0.1358619179135836,64,0.0,-0.0,0.0,-0.0,0.2450695429917138,0.2450695429917138
1765,0.022689590676532,65,0.0,-0.0,0.0,-0.0,0.24573644325824306,0.24573644325824306
1766,0.2917210973638627,66,0.0,-0.0,0.0,-0.0,0.24640334352477236,0.24640334352477236
1767,0.171599801097697,67,0.0,-0.0,0.0,-0.0,0.24707024379130166,0.24707024379130166
1768,0.1972734907669515,68,0.0,-0.0,0.0,-0.0,0.24773714405783093,0.24773714405783093
1769,0.3543152548244452,69,0.0,-0.0,0.0,-0.0,0.24840404432436022,0.24840404432436022
1770,0.2430744436670437,70,0.0,-0.0,0.0,-0.0,0.24907094459088952,0.24907094459088952
1771,0.172467999816343,71,0.0,-0.0,0.0,-0.0,0.2497378448574188,0.2497378448574188
1772,0.1157370437238154,72,0.0,-0.0,0.0,-0.0,0.25040474512394806,0.25040474512394806
1773,0.1397422556416575,73,0.0,-0.0,0.0,-0.0,0.2510716453904774,0.2510716453904774
1774,0.4678068697290046,74,0.0,-0.0,0.0,-0.0,0.25173854565700665,0.25173854565700665
1775,0.5020162903686768,75,0.0,-0.0,0.0,-0.0,0.2524054459235359,0.2524054459235359
1776,0.2107298446643277,76,0.0,-0.0,0.0,-0.0,0.25307234619006524,0.25307234619006524
1777,0.1688165791336311,77,0.0,-0.0,0.0,-0.0,0.2537392464565945,0.2537392464565945
1778,0.5620409210973014,78,0.0,-0.0,0.0,-0.0,0.25440614672312384,0.25440614672312384
1779,0.3980756966234557,79,0.0,-0.0,0.0,-0.0,0.2550730469896531,0.2550730469896531
1780,0.1428416524318264,80,0.0,-0.0,0.0,-0.0,0.2557399472561824,0.2557399472561824
1781,0.1491926991406391,81,0.0,-0.0,0.0,-0.0,0.2564068475227117,0.2564068475227117
1782,0.1510061271950662,82,0.0,-0.0,0.0,-0.0,0.25707374778924097,0.25707374778924097
1783,0.1007020329978105,83,0.0,-0.0,0.0,-0.0,0.25774064805577024,0.25774064805577024
1784,0.0387328785983969,84,0.0,-0.0,0.0,-0.0,0.25840754832229956,0.25840754832229956
1785,0.2093202319070736,85,0.0,-0.0,0.0,-0.0,0.25907444858882883,0.25907444858882883
1786,0.3365199502559464,86,0.0,-0.0,0.0,-0.0,0.2597413488553581,0.2597413488553581
1787,0.3885027423327567,87,0.0,-0.0,0.0,-0.0,0.2604082491218874,0.2604082491218874
1788,0.4726488422920809,88,0.0,-0.0,0.0,-0.0,0.2610751493884167,0.2610751493884167
1789,0.4101842835082924,89,0.0,-0.0,0.0,-0.0,0.26174204965494596,0.26174204965494596
1790,0.5193090955152312,90,0.0,-0.0,0.0,-0.0,0.2624089499214753,0.2624089499214753
1791,0.5539270204913653,91,0.0,-0.0,0.0,-0.0,0.26307585018800456,0.26307585018800456
1792,0.3235905591678858,92,0.0,-0.0,0.0,-0.0,0.2637427504545338,0.2637427504545338
1793,0.173418831697649,93,0.0,-0.0,0.0,-0.0,0.26440965072106315,0.26440965072106315
1794,0.1807921479538699,94,0.0,-0.0,0.0,-0.0,0.2650765509875924,0.2650765509875924
1795,0.253702629881598,95,0.0,-0.0,0.0,-0.0,0.2657434512541217,0.2657434512541217
1796,0.209350614308623,96,0.0,-0.0,0.0,-0.0,0.266410351520651,0.266410351520651
1797,0.3181778955963873,97,0.0,-0.0,0.0,-0.0,0.2670772517871803,0.2670772517871803
1798,0.540884695797513,98,0.0,-0.0,0.0,-0.0,0.26774415205370955,0.26774415205370955
1799,0.5203001487796544,99,0.0,-0.0,0.0,-0.0,0.2684110523202389,0.2684110523202389
1800,0.3020522712512251,100,0.0,-0.0,0.0,-0.0,0.26907795258676814,0.26907795258676814
1801,0.5436427253759382,101,0.0,-0.0,0.0,-0.0,0.2697448528532974,0.2697448528532974
1802,0.4027315364871531,102,0.0,-0.0,0.0,-0.0,0.27041175311982674,0.27041175311982674
1803,0.497011188639877,103,0.0,-0.0,0.0,-0.0,0.271078653386356,0.271078653386356
1804,0.4478422782999426,104,0.0,-0.0,0.0,-0.0,0.2717455536528853,0.2717455536528853
1805,0.4363789637588462,105,0.0,-0.0,0.0,-0.0,0.2724124539194146,0.2724124539194146
1806,0.4619886853715921,106,0.0,-0.0,0.0,-0.0,0.27307935418594387,0.27307935418594387
1807,0.5714316055928473,107,0.0,-0.0,0.0,-0.0,0.27374625445247314,0.27374625445247314
1808,0.3886366776580605,108,0.0,-0.0,0.0,-0.0,0.27441315471900246,0.27441315471900246
1809,0.3496237736574971,109,0.0,-0.0,0.0,-0.0,0.27508005498553173,0.27508005498553173
1810,0.3543491794017766,110,0.0,-0.0,0.0,-0.0,0.275746955252061,0.275746955252061
1811,0.3290836849102838,111,0.0,-0.0,0.0,-0.0,0.2764138555185903,0.2764138555185903
1812,0.182854947849171,112,0.0,-0.0,0.0,-0.0,0.2770807557851196,0.2770807557851196
1813,0.2107944476596814,113,0.0,-0.0,0.0,-0.0,0.27774765605164886,0.27774765605164886
1814,0.4289975674344131,114,0.0,-0.0,0.0,-0.0,0.2784145563181782,0.2784145563181782
1815,0.2232206420741711,115,0.0,-0.0,0.0,-0.0,0.27908145658470745,0.27908145658470745
1816,0.1289388185631138,116,0.0,-0.0,0.0,-0.0,0.2797483568512367,0.2797483568512367
1817,0.3409627237203875,117,0.0,-0.0,0.0,-0.0,0.28041525711776605,0.28041525711776605
1819,0.1518463869698396,119,0.0,-0.0,0.0,-0.0,0.2817490576508246,0.2817490576508246
1820,0.1978251940049184,120,0.0,-0.0,0.0,-0.0,0.2824159579173539,0.2824159579173539
1821,0.2753015757407323,121,0.0,-0.0,0.0,-0.0,0.2830828581838832,0.2830828581838832
1822,0.358222660255331,122,0.0,-0.0,0.0,-0.0,0.28374975845041245,0.28374975845041245
1823,0.1766075730459471,123,0.0,-0.0,0.0,-0.0,0.2844166587169418,0.2844166587169418
1824,0.2070761904744135,124,0.0,-0.0,0.0,-0.0,0.28508355898347104,0.28508355898347104
1825,0.1156614712520703,125,0.0,-0.0,0.0,-0.0,0.2857504592500003,0.2857504592500003
1826,0.2003418666388609,126,0.0,-0.0,0.0,-0.0,0.28641735951652963,0.28641735951652963
1827,0.2387927880879711,127,0.0,-0.0,0.0,-0.0,0.2870842597830589,0.2870842597830589
1828,0.2792827997717492,128,0.0,-0.0,0.0,-0.0,0.28775116004958823,0.28775116004958823
1829,0.1590309804647051,129,0.0,-0.0,0.0,-0.0,0.2884180603161175,0.2884180603161175
1830,0.3686120650191363,130,0.0,-0.0,0.0,-0.0,0.28908496058264677,0.28908496058264677
1831,0.1704342585521989,131,0.0,-0.0,0.0,-0.0,0.2897518608491761,0.2897518608491761
1832,0.2988634021261483,132,0.0,-0.0,0.0,-0.0,0.29041876111570536,0.29041876111570536
1833,0.0665550911344502,133,0.0,-0.0,0.0,-0.0,0.29108566138223463,0.29108566138223463
1834,0.0596327840420742,134,0.0,-0.0,0.0,-0.0,0.29175256164876395,0.29175256164876395
1835,0.2534039862118517,135,0.0,-0.0,0.0,-0.0,0.2924194619152932,0.2924194619152932
1836,0.1770541428545911,136,0.0,-0.0,0.0,-0.0,0.2930863621818225,0.2930863621818225
1837,0.195139422935658,137,0.0,-0.0,0.0,-0.0,0.2937532624483518,0.2937532624483518
1838,0.2469984727977584,138,0.0,-0.0,0.0,-0.0,0.2944201627148811,0.2944201627148811
1839,0.2155936807014753,139,0.0,-0.0,0.0,-0.0,0.29508706298141035,0.29508706298141035
1840,0.2053613600561695,140,0.0,-0.0,0.0,-0.0,0.2957539632479397,0.2957539632479397
1841,0.1370677977413977,141,0.0,-0.0,0.0,-0.0,0.29642086351446895,0.29642086351446895
1842,0.2274208349403518,142,0.0,-0.0,0.0,-0.0,0.2970877637809982,0.2970877637809982
1843,0.1498160772042983,143,0.0,-0.0,0.0,-0.0,0.29775466404752754,0.29775466404752754
1844,0.3442593871735556,144,0.0,-0.0,0.0,-0.0,0.2984215643140568,0.2984215643140568
1845,0.6497073423259815,145,0.0,-0.0,0.0,-0.0,0.2990884645805861,0.2990884645805861
1846,0.1639989674563091,146,0.0,-0.0,0.0,-0.0,0.2997553648471154,0.2997553648471154
1847,0.2311769613921486,147,0.0,-0.0,0.0,-0.0,0.30042226511364467,0.30042226511364467
1848,0.2543147160773852,148,0.0,-0.0,0.0,-0.0,0.30108916538017394,0.30108916538017394
1849,0.1501088453904256,149,0.0,-0.0,0.0,-0.0,0.30175606564670326,0.30175606564670326
1850,0.1789461426491994,150,0.0,-0.0,0.0,-0.0,0.30242296591323253,0.30242296591323253
1851,0.4817032074626664,151,0.0,-0.0,0.0,-0.0,0.3030898661797618,0.3030898661797618
1852,0.6963602108221157,152,0.0,-0.0,0.0,-0.0,0.3037567664462911,0.3037567664462911
1853,0.0749254929386366,153,0.0,-0.0,0.0,-0.0,0.3044236667128204,0.3044236667128204
1854,0.0839346403547992,154,1.0,0.0,0.0,-0.0,0.0576859270054986,0.30509056697934966
1855,0.0909728328713857,155,1.0,1.0,0.0,-0.0,0.060847725504537285,0.305757467245879
1856,0.2210381819255016,156,1.0,2.0,0.0,-0.0,0.06400952400357592,0.30642436751240826
1857,0.0293977675212651,157,1.0,3.0,0.0,-0.0,0.06717132250261454,0.3070912677789375
1858,0.0259623486504745,158,1.0,4.0,0.0,-0.0,0.07033312100165322,0.30775816804546685
1859,0.0269495645907416,159,1.0,5.0,0.0,-0.0,0.07349491950069184,0.3084250683119961
1860,0.1233757227765715,160,1.0,6.0,0.0,-0.0,0.07665671799973048,0.3090919685785254
1861,0.0164632703553719,161,1.0,7.0,0.0,-0.0,0.07981851649876916,0.3097588688450547
1862,0.0466607205499287,162,1.0,8.0,0.0,-0.0,0.08298031499780778,0.310425769111584
1863,0.0776068702680022,163,1.0,9.0,0.0,-0.0,0.08614211349684642,0.31109266937811325
1864,0.0805093643043847,164,1.0,10.0,0.0,-0.0,0.0893039119958851,0.3117595696446426
1865,0.032220622973455,165,1.0,11.0,0.0,-0.0,0.09246571049492372,0.31242646991117184
1866,0.061012685011851,166,1.0,12.0,0.0,-0.0,0.09562750899396234,0.3130933701777011
1867,0.0627788210886087,167,1.0,13.0,0.0,-0.0,0.09878930749300104,0.31376027044423044
1868,0.1096293881920977,168,1.0,14.0,0.0,-0.0,0.10195110599203966,0.3144271707107597
1869,0.0626932022843076,169,1.0,15.0,0.0,-0.0,0.10511290449107828,0.315094070977289
1870,0.1162813989351281,170,1.0,16.0,0.0,-0.0,0.10827470299011696,0.3157609712438183
1871,0.1028576705499629,171,1.0,17.0,0.0,-0.0,0.1114365014891556,0.31642787151034757
1872,0.0945580859380589,172,1.0,18.0,0.0,-0.0,0.11459829998819422,0.31709477177687684
1873,0.2938358048685249,173,1.0,19.0,0.0,-0.0,0.1177600984872329,0.31776167204340616
1876,0.1229667849012315,176,1.0,22.0,0.0,-0.0,0.12724549398434884,0.319762372842994
1877,0.1448539864665026,177,1.0,23.0,1.0,0.0,0.29324544155586796,0.3204292731095233
1878,0.2280111278206573,178,1.0,24.0,1.0,1.0,0.30529292896305,0.32109617337605256
1879,0.5402745694318548,179,1.0,25.0,1.0,2.0,0.3173404163702321,0.3217630736425819
1880,0.2873936060038246,180,1.0,26.0,1.0,3.0,0.3293879037774141,0.32242997390911116
1881,0.0850847198246026,181,1.0,27.0,1.0,4.0,0.3414353911845962,0.3230968741756405
1882,0.1250630452794973,182,1.0,28.0,1.0,5.0,0.3534828785917783,0.32376377444216975
1883,0.7264204342281358,183,1.0,29.0,1.0,6.0,0.3655303659989603,0.324430674708699
1884,0.335830457485308,184,1.0,30.0,1.0,7.0,0.37757785340614236,0.32509757497522834
1885,0.4787377322087877,185,1.0,31.0,1.0,8.0,0.3896253408133244,0.3257644752417576
1886,0.4990479505951826,186,1.0,32.0,1.0,9.0,0.40167282822050643,0.3264313755082869
1889,0.6175802782861362,189,1.0,35.0,1.0,12.0,0.4378152904420526,0.32843207630787474
1891,0.3166698875280757,191,1.0,37.0,1.0,14.0,0.4619102652564167,0.32976587684093334
1892,0.4859277369264725,192,1.0,38.0,1.0,15.0,0.4739577526635987,0.3304327771074626
1893,0.463951871506453,193,1.0,39.0,1.0,16.0,0.48600524007078083,0.33109967737399193
1894,0.7217748024901663,194,1.0,40.0,1.0,17.0,0.49805272747796286,0.3317665776405212
1895,0.6280826910285588,195,1.0,41.0,1.0,18.0,0.5101002148851449,0.33243347790705047
1896,0.599039318131559,196,1.0,42.0,1.0,19.0,0.522147702292327,0.3331003781735798
1897,0.4924825461315081,197,1.0,43.0,1.0,20.0,0.534195189699509,0.33376727844010906
1898,0.3722670941418799,198,1.0,44.0,1.0,21.0,0.546242677106691,0.3344341787066384
1899,0.2665113856044001,199,1.0,45.0,1.0,22.0,0.558290164513873,0.33510107897316765
1900,0.6586409840917282,200,1.0,46.0,1.0,23.0,0.5703376519210551,0.3357679792396969
