year,era,amount_sum,amount_median,latinbert_cluster,tfidf_cluster
1863,post_1840,35359.31875,6.55625,0,2
1864,post_1840,31825.219791666666,5.0,0,2
1865,post_1840,25122.975000000002,2.372916666666667,0,2
1866,post_1840,36011.745833333334,6.583333333333333,0,2
1867,post_1840,20639.872916666667,1.4458333333333333,0,2
1868,post_1840,16792.2875,5.0,0,2
1869,post_1840,39225.26458333333,3.86875,0,2
1870,post_1840,45950.90625,5.91875,0,2
1871,post_1840,35872.661458333336,6.9750000000000005,0,2
1872,post_1840,50797.707291666666,5.058333333333334,0,2
1873,post_1840,136937.50208333333,6.825,0,2
1876,post_1840,30762.4625,5.0,0,2
1877,post_1840,25323.107291666667,5.0,0,2
1878,post_1840,43108.64375,6.770833333333333,0,2
1879,post_1840,13832.2875,5.0,0,2
1880,post_1840,9251.189583333333,5.0,0,2
1881,post_1840,26500.534375,5.0,0,2
1882,post_1840,27268.276041666668,7.258333333333334,0,2
1883,post_1840,134008.51666666666,77.2,1,3
1884,post_1840,214017.875,106.15416666666667,1,3
1885,post_1840,104955.55416666667,154.65416666666667,1,3
1886,post_1840,111173.75,107.74166666666667,1,3
1889,post_1840,155112.63333333333,84.34583333333333,1,3
1891,post_1840,442398.303125,80.70416666666667,1,3
1892,post_1840,251215.78749999998,92.30833333333334,1,3
1893,post_1840,281979.49166666664,101.325,1,3
1894,post_1840,96569.64166666666,156.96041666666667,1,3
1895,post_1840,90144.70833333333,160.0,1,3
1896,post_1840,99955.05833333333,134.66666666666669,1,3
1897,post_1840,114609.94166666667,115.3,1,3
1898,post_1840,126162.05833333333,141.26458333333335,1,3
1899,post_1840,115180.2375,109.12083333333332,1,3
1900,post_1840,145912.26249999998,157.5,1,3
