year,"L1[base{eccl,maint,dom}]",L1[+charitable],L1[+charitable+admin],era
1870,0.7295765500212954,0.7287004535940356,0.6807147840766271,late_industrial
1871,0.8662066944252106,0.8620504003690997,0.8003089142292369,late_industrial
1872,0.9541569626891423,0.9538451709380805,0.9061357089402375,late_industrial
1873,0.6413937032797021,0.6064289496493112,0.4103763063934518,late_industrial
1876,0.46113289178478145,0.4568553791052018,0.2822748706238625,late_industrial
1877,0.9393176346670848,0.9273191323727653,0.820254119584545,late_industrial
1878,0.6496556420520305,0.6224313679958128,0.26740818350030593,late_industrial
1879,0.8601932805052779,0.8195809819000556,0.6132372291587473,late_industrial
1880,0.5460262715497517,0.5296862731875087,0.37961859528614983,late_industrial
1881,0.4783886050077778,0.4360681898498976,0.360633511181053,late_industrial
1882,0.8816262937407137,0.8707211643141429,0.7521776180323684,late_industrial
1883,0.8581698474639751,0.8517498703139398,0.7802561568124634,late_industrial
1884,0.8943374215469695,0.8895733101952397,0.8171947203956973,late_industrial
1885,0.8759608242902346,0.8719032086224888,0.7796923141354081,late_industrial
1886,0.8627228173947806,0.7906015562837714,0.7210447467094059,late_industrial
1889,0.8914922517093758,0.8886002151143828,0.7941748796475053,late_industrial
1891,0.880580585575893,0.8796796172330541,0.8505403822967645,late_industrial
1892,0.6689952054367319,0.6674948385366651,0.6248844185747722,late_industrial
1893,0.9054390214205716,0.902574086325085,0.8575940966823403,late_industrial
1894,0.8089275578254819,0.8053570493190272,0.7270533716891391,late_industrial
1895,0.7707673231032086,0.7672025050417471,0.6335845175329545,late_industrial
1896,0.807363437272224,0.801732114360335,0.6935880548814799,late_industrial
1897,0.6379870585230536,0.6289135566621442,0.5588655612919036,late_industrial
1898,0.7947910204249756,0.7920002437556655,0.7282869139601748,late_industrial
1899,0.5404055617671919,0.531641543502028,0.3010899206702188,late_industrial
1900,0.7567703190152051,0.7531470775253539,0.6724244657440319,late_industrial
