year,L4,scholarship_intensity,prize_intensity,competitive_examinations,lectures_teaching,scientific_professorships,scholarships_prizes,textual_mission_index
1781,0.0340252489959856,0.25,0.0,0.0,0.0027855153203342,0.0,0.011142061281337,-0.233535721364466
1782,0.0009296986627567,0.2,0.0,0.0,0.0081521739130434,0.0,0.0054347826086956,-0.17521039479786468
1783,0.0087356706419068,0.25,0.0,0.0,0.0050761421319796,0.0,0.0,-0.22171574736034116
1784,0.0070970341315295,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,-0.3845927588372342
1785,0.1223163840919222,0.2222222222222222,0.0,0.0,0.0148883374689826,0.0,0.0049627791563275,-0.02175716825160014
1786,0.1271965572988466,0.1818181818181818,0.0909090909090909,0.0,0.0156950672645739,0.0,0.0067264573991031,0.15044109808409675
1787,0.0082390506147544,0.25,0.0833333333333333,0.0024390243902439,0.0073170731707317,0.0,0.0097560975609756,0.12888316045569967
1788,0.0117036136262797,0.2142857142857142,0.0,0.0025445292620865,0.0127226463104325,0.0,0.0076335877862595,0.05113331676963662
1789,0.0040884039395063,0.0,0.0,0.0,0.0139860139860139,0.0,0.0023310023310023,-0.20272936298275668
1790,0.0234651578647623,0.0,0.0,0.0,0.0160183066361556,0.0,0.0022883295194508,-0.16075550191164323
1791,0.0223819750659046,0.0,0.0,0.0035460992907801,0.0212765957446808,0.0,0.0,0.10074932454696388
1792,0.0006391614942252,0.0,0.0,0.0045662100456621,0.0136986301369863,0.0,0.0,-0.010280811986681552
1793,0.0015892065499663,0.0,0.0,0.0,0.0144092219020172,0.0,0.0,-0.20141706312787733
1794,0.0033183659528357,0.25,0.0,0.0,0.0131233595800524,0.0,0.0052493438320209,-0.03817983468533834
1795,0.0030803779123725,0.25,0.0,0.0,0.0025445292620865,0.0,0.010178117048346,-0.24161274192345572
1796,0.0062121628245274,0.4,0.2,0.0,0.0,0.0,0.0124688279301745,0.20803545613160687
1797,0.0101947404003394,0.5555555555555556,0.1111111111111111,0.0,0.0157894736842105,0.0,0.0184210526315789,0.4880809592351793
1798,0.0018785865648465,0.375,0.0,0.0,0.0151515151515151,0.0,0.0101010101010101,0.10590947414995172
1799,4.903140001501587e-05,0.0,0.0,0.0028653295128939,0.0,0.0,0.0028653295128939,-0.36164026657083675
1800,0.0025157512714364,0.0,0.0,0.0020283975659229,0.0,0.0,0.0020283975659229,-0.4020493119186956
1801,0.0025642969155712,0.5,0.0,0.0,0.0,0.0,0.011049723756906,-0.11846017462314706
1802,0.000149310647164,0.0,0.0,0.0,0.0,0.0,0.0,-0.49998512321316513
1803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.49998512321316513
1804,5.856511086009455e-06,0.0,0.0,0.0,0.0092592592592592,0.0,0.0,-0.3081274994176191
1805,0.0065916618059745,0.5,0.0,0.0,0.0043859649122807,0.0,0.0175438596491228,-0.006805630755351723
1806,0.0167540496479843,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,-0.03841566570944118
1807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.49998512321316513
1808,0.0024847680445431,0.0,0.0,0.0,0.0,0.0,0.0,-0.49998512321316513
1809,0.0071669823465869,0.625,0.0,0.0,0.0028169014084507,0.0056338028169014,0.0056338028169014,0.41718459731593915
1810,0.00115687331473,0.25,0.0,0.0,0.0,0.0,0.0,-0.32689657664926863
1811,0.0042540502879611,0.3333333333333333,0.0,0.0,0.0,0.0048309178743961,0.0096618357487922,0.1116124175703797
1812,0.0009370750392586,0.0,0.0,0.0,0.0,0.0,0.0,-0.49998512321316513
1813,0.0046425030395204,0.25,0.0,0.0,0.0,0.0,0.0049504950495049,-0.31106003744465793
1814,0.0695090220470501,0.2,0.0,0.0,0.0,0.0,0.0,-0.36151428596204793
1815,0.0009871440630665,0.0,0.0,0.0,0.0,0.0,0.0,-0.49998512321316513
1816,9.322968216266845e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.49998512321316513
1817,0.0148032084860679,0.5454545454545454,0.0,0.0,0.0029411764705882,0.0,0.0058823529411764,-0.04257684052445055
1819,0.00400076970249,0.0,0.0,0.0,0.0063291139240506,0.0,0.0,-0.3688419373276018
1820,0.0019570053246091,0.0,0.0,0.0,0.0,0.0,0.0,-0.49998512321316513
1821,0.0111166747725753,0.0,0.0,0.0,0.0,0.0,0.0,-0.49998512321316513
1822,0.0057330789670794,0.6666666666666666,0.0,0.0,0.0052083333333333,0.0,0.0,0.06950424767555347
1823,0.0033275129536006,0.2,0.0,0.0,0.0039525691699604,0.0,0.0,-0.2796145888477447
1824,0.0089142730054647,0.5,0.0,0.0041322314049586,0.0,0.0,0.0,0.03248690400075075
1825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.49998512321316513
1826,0.0010125810177825,0.0,0.0,0.0,0.0,0.0,0.0,-0.49998512321316513
1827,0.0102378365530449,0.1428571428571428,0.0,0.0,0.0043859649122807,0.0,0.0,-0.3101974552584614
1828,0.0729269679259399,0.7777777777777778,0.1111111111111111,0.0,0.0,0.0,0.0211864406779661,0.3236161312449189
1829,0.0058381633355491,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,-0.2692003944613031
1830,0.0103995849022332,0.25,0.25,0.0,0.0,0.0,0.0047846889952153,0.1773987549107138
1831,0.0080796842300458,0.25,0.0,0.0,0.0,0.0,0.0043103448275862,-0.3131078657900816
1832,0.0174391252078248,0.4545454545454545,0.0909090909090909,0.0,0.0,0.0,0.0208333333333333,0.059181016453088264
