decade_start,pearson_r,p_value
1866,-0.8705575675010787,0.004909368076310301
1867,-0.42117927306958536,0.29871103198674487
1868,-0.5486601808461484,0.15907035008323964
1869,-0.5904827164673955,0.12327978406617456
1870,-0.6042582210485089,0.11259578886609677
1871,-0.5503119154923752,0.1575611968351576
1872,-0.49543405303162247,0.21187618435912764
1873,-0.4813653617261508,0.22717115565510101
1874,-0.48412984992069513,0.22412217119573255
1875,-0.42782038015771723,0.2506787803929919
1876,-0.4811515049938575,0.159165863633691
1877,-0.7506088031079251,0.01236670191076925
1878,-0.6673059377407089,0.04956821033924545
1879,-0.7434940291418952,0.03449171572173754
1880,-0.7777956939942476,0.0230603469935015
1881,-0.8757610087515817,0.009762560138223901
1882,-0.897660252321375,0.006085963350477087
1883,-0.8208668210775597,0.023626085113550965
1884,-0.8129026122751282,0.02622074148782545
1885,-0.8596819743850372,0.013115511620513868
1886,-0.8508051144710781,0.015212973042888272
1887,-0.9511593760522877,0.0009861613699453545
1888,-0.4976003647447158,0.20957020849738184
1889,-0.5514281785426629,0.12379796005802607
1890,-0.5433738151896719,0.1305332277141952
