year,land_arrears_rate,land_amount_share,land_income_share,stress_index
1815,0.1774193548387097,0.042946519953963105,0.372864091369049,0.06615330653321838
1816,0.06557377049180328,0.1367225016685387,0.1229077849540393,0.008059526882232085
1817,0.0,0.0,0.1800599286197214,0.0
1818,0.5806451612903226,0.31450796256803604,0.5849455747332167,0.3396458175870291
1819,0.660377358490566,0.6713801012790128,0.15528618496566124,0.10254748063770082
1820,0.38461538461538464,0.4608238445224637,0.19994761468561748,0.07690292872523749
1821,0.3170731707317073,0.25291594541549794,0.31768431131960706,0.10072917188182663
1822,0.3492063492063492,0.41900739774949697,0.25965039351215025,0.09067156598836992
1823,0.5373134328358209,0.4849193887852069,0.2724349936435268,0.14638298165920843
1824,0.028169014084507043,0.05827250386243004,0.17677587346403342,0.004979602069409392
1825,0.5588235294117647,0.6839396116818337,0.2132694936117832,0.11918001113599651
1826,0.6271186440677966,0.7269143493675251,0.19945652404636988,0.12508290491043533
1827,0.25,0.3760097458145095,0.23529429918542863,0.05882357479635716
1828,0.25806451612903225,0.458246319044583,0.09309862905771843,0.02402545266005637
1829,0.375,0.22282489668681424,0.2679444221658481,0.10047915831219303
1830,0.07936507936507936,0.016278321339584016,0.1892849833035667,0.015022617722505292
1831,0.4266666666666667,0.1507395181122391,0.3784818678171347,0.16148559693531084
1832,0.18518518518518517,0.11915853084260702,0.20910024169531669,0.0387222669806142
1833,0.4,0.19051568741872307,0.08533424451462948,0.03413369780585179
1834,0.18888888888888888,0.21488391953976604,0.15344118854129363,0.028983335613355463
1835,0.24691358024691357,0.10162681770880702,0.4154342103599156,0.1025763482370162
1836,0.45588235294117646,0.2044394783747455,0.16094625679122773,0.0733725582430597
1837,0.29333333333333333,0.1311309949957745,0.2797747936138371,0.08206727279339222
1838,0.5217391304347826,0.0590196295038267,0.18224297834517814,0.09508329304965815
1839,0.3103448275862069,0.4819192372141323,0.21109018648959338,0.06551074753125312
1840,0.0,0.0,0.20973836312590413,0.0
1841,0.0,0.0,0.12731431765270465,0.0
1842,0.5238095238095238,0.3684294241351342,0.31244645803913046,0.1636624304014493
1843,0.1323529411764706,0.02161685100027356,0.15253686937950678,0.020188703300228837
1844,0.2564102564102564,0.08305923867960552,0.29331857812338963,0.07520989182651015
1845,0.36,0.3755580905980731,0.34338089026096297,0.12361712049394666
1846,0.22727272727272727,0.024799201558861266,0.08343729210346999,0.018963020932606815
1847,0.4074074074074074,0.39115238439334343,0.25805271408515273,0.10513258721987703
1848,0.08771929824561403,0.6267224630100136,0.28489800102958757,0.024991052721893645
1849,0.23809523809523808,0.12610321191865406,0.17809932217736585,0.04240460051842044
1850,0.3026315789473684,0.15047851404256155,0.08301455030471588,0.025122824434321914
1851,0.0,0.0,0.2671010919080711,0.0
1852,0.21052631578947367,0.08432838059959892,0.36407040573953653,0.07664640120832347
1853,0.25862068965517243,0.2044619661530839,0.13464864720241362,0.03482292600062421
1854,0.2619047619047619,0.5582011923108119,0.08738742263932202,0.022887182119822436
1855,0.44642857142857145,0.3205851384793533,0.07817840796265878,0.03490107498332981
1856,0.10638297872340426,0.058848293106087655,0.09554938559807728,0.010164828255114604
1857,0.0,0.0,,
1858,0.0,0.0,0.0505248934347334,0.0
1859,0.0,0.0,0.025899280575539564,0.0
1860,0.0,0.0,0.11162700127935522,0.0
1861,0.0,0.0,0.04394400796188649,0.0
1862,0.0,0.0,0.44565732934072394,0.0
1863,0.0,0.0,0.007067964458402968,0.0
1864,0.0,0.0,0.005344704268811971,0.0
1865,0.09090909090909091,0.0,0.12877072916228974,0.011706429923844523
1866,0.0,0.0,0.0379512379766973,0.0
1867,0.0,0.0,0.16774328850761416,0.0
1868,0.0,0.0,0.2540376773003177,0.0
1869,0.0,0.0,0.31048944755276225,0.0
1870,0.0,0.0,0.03235053255146296,0.0
1871,0.0,0.0,0.04292169782776047,0.0
1872,0.0,0.0,0.03926997548850123,0.0
1873,0.0,0.0,0.035841889224510884,0.0
1876,0.0,0.0,0.021874569053011578,0.0
1877,0.043478260869565216,0.0,0.008478185354327308,0.0003686167545359699
1878,0.0,0.0,0.11635631051270845,0.0
1879,0.0,0.0,0.16167673352301998,0.0
1880,0.0,0.0,0.06739994119011875,0.0
1881,0.0,0.0,0.021918751117539482,0.0
1882,0.07142857142857142,0.0034405869624856383,0.06360067777612188,0.004542905555437277
1883,0.0,0.0,0.23215301183619189,0.0
1884,0.0,0.0,0.16956781976814114,0.0
1885,0.0,0.0,0.2597820520207557,0.0
1886,0.0,0.0,0.28626379168158145,0.0
1889,0.0,0.0,0.16099155279653476,0.0
1891,0.0,0.0,0.07132128937090391,0.0
1892,0.0,0.0,0.1420356131565741,0.0
1893,0.0,0.0,0.10468078507572277,0.0
1894,0.0,0.0,0.19726302660172287,0.0
1895,0.0,0.0,0.18935014853048632,0.0
1896,0.0,0.0,0.180743340223783,0.0
1897,0.0,0.0,0.06134440631921624,0.0
1898,0.0,0.0,0.09541832346990177,0.0
1899,0.0,0.0,0.12595416331939846,0.0
1900,0.0,0.0,0.4101222010665455,0.0
