unit,unit_id,year_ref,cluster
page,1770-1771_4_image,1770,2
page,1770-1771_5_image,1770,3
page,1770-1771_6_image,1770,7
page,1771-1772_1_image,1771,7
page,1771-1772_2_image,1771,3
page,1771-1772_3_image,1771,2
page,1771-1772_4_image,1771,2
page,1771-1772_5_image,1771,2
page,1771-1772_6_image,1771,3
page,1771-1772_7_image,1771,3
page,1771-1772_8_image,1771,7
page,1771-1772_9_image,1771,2
page,1772-1773_1_image,1772,3
page,1772-1773_2_image,1772,2
page,1772-1773_3_image,1772,2
page,1772-1773_4_image,1772,2
page,1772-1773_5_image,1772,2
page,1772-1773_6_image,1772,3
page,1772-1773_7_image,1772,3
page,1772-1773_8_image,1772,3
page,1773-1774_10_image,1773,2
page,1773-1774_11_image,1773,7
page,1773-1774_12_image,1773,7
page,1773-1774_1_image,1773,7
page,1773-1774_2_image,1773,7
page,1773-1774_3_image,1773,7
page,1773-1774_4_image,1773,2
page,1773-1774_5_image,1773,3
page,1773-1774_6_image,1773,2
page,1773-1774_7_image,1773,2
page,1773-1774_8_image,1773,2
page,1773-1774_9_image,1773,3
page,1774-1775_10_image,1774,7
page,1774-1775_11_image,1774,2
page,1774-1775_1_image,1774,7
page,1774-1775_2_image,1774,7
page,1774-1775_3_image,1774,2
page,1774-1775_4_image,1774,2
page,1774-1775_5_image,1774,2
page,1774-1775_6_image,1774,2
page,1774-1775_7_image,1774,2
page,1774-1775_8_image,1774,3
page,1774-1775_9_image,1774,3
page,1775-1776_1_image,1775,7
page,1775-1776_2_image,1775,3
page,1775-1776_3_image,1775,2
page,1775-1776_4_image,1775,2
page,1775-1776_5_image,1775,2
page,1775-1776_6_image,1775,3
page,1775-1776_7_image,1775,3
page,1775-1776_8_image,1775,7
page,1775-1776_9_image,1775,7
page,1776-1777_10_image,1776,2
page,1776-1777_11_image,1776,2
page,1776-1777_12_image,1776,2
page,1776-1777_13_image,1776,2
page,1776-1777_14_image,1776,2
page,1776-1777_15_image,1776,2
page,1776-1777_16_image,1776,7
page,1776-1777_1_image,1776,7
page,1776-1777_2_image,1776,2
page,1776-1777_3_image,1776,2
page,1776-1777_4_image,1776,2
page,1776-1777_5_image,1776,2
page,1776-1777_6_image,1776,3
page,1776-1777_7_image,1776,2
page,1776-1777_8_image,1776,7
page,1776-1777_9_image,1776,7
page,1778-1779_1_image,1778,7
page,1778-1779_2_image,1778,2
page,1778-1779_3_image,1778,2
page,1778-1779_4_image,1778,2
page,1778-1779_5_image,1778,2
page,1778-1779_6_image,1778,3
page,1778-1779_7_image,1778,3
page,1778-1779_8_image,1778,7
page,1778-1779_9_image,1778,7
page,1779-1780_1_image,1779,7
page,1779-1780_2_image,1779,2
page,1779-1780_3_image,1779,2
page,1779-1780_4_image,1779,2
page,1779-1780_5_image,1779,2
page,1779-1780_6_image,1779,2
page,1779-1780_7_image,1779,2
page,1780-1781_10_image,1780,2
page,1780-1781_1_image,1780,7
page,1780-1781_2_image,1780,7
page,1780-1781_3_image,1780,7
page,1780-1781_4_image,1780,2
page,1780-1781_5_image,1780,2
page,1780-1781_6_image,1780,2
page,1780-1781_7_image,1780,2
page,1780-1781_8_image,1780,2
page,1780-1781_9_image,1780,2
page,1781-1782_1_image,1781,7
page,1781-1782_2_image,1781,7
page,1781-1782_3_image,1781,2
page,1781-1782_4_image,1781,2
page,1781-1782_5_image,1781,2
page,1781-1782_6_image,1781,2
page,1781-1782_7_image,1781,2
page,1781-1782_8_image,1781,3
page,1781-1782_9_image,1781,2
page,1782-1783_1_image,1782,7
page,1782-1783_2_image,1782,7
page,1782-1783_3_image,1782,2
page,1782-1783_4_image,1782,2
page,1782-1783_5_image,1782,2
page,1782-1783_6_image,1782,2
page,1782-1783_7_image,1782,3
page,1782-1783_8_image,1782,3
page,1782-1783_9_image,1782,7
page,1783-1784_1_image,1783,7
page,1783-1784_2_image,1783,2
page,1783-1784_3_image,1783,2
page,1783-1784_4_image,1783,3
page,1783-1784_5_image,1783,2
page,1783-1784_6_image,1783,7
page,1784-1785_1_image,1784,7
page,1784-1785_2_image,1784,2
page,1784-1785_3_image,1784,3
page,1784-1785_4_image,1784,2
page,1784-1785_5_image,1784,2
page,1784-1785_6_image,1784,2
page,1784-1785_7_image,1784,3
page,1784-1785_8_image,1784,7
page,1785-1786_10_image,1785,2
page,1785-1786_1_image,1785,7
page,1785-1786_2_image,1785,3
page,1785-1786_3_image,1785,2
page,1785-1786_4_image,1785,2
page,1785-1786_5_image,1785,2
page,1785-1786_6_image,1785,3
page,1785-1786_7_image,1785,3
page,1785-1786_8_image,1785,3
page,1785-1786_9_image,1785,7
page,1786-1787_10_image,1786,7
page,1786-1787_11_image,1786,7
page,1786-1787_1_image,1786,7
page,1786-1787_2_image,1786,2
page,1786-1787_3_image,1786,2
page,1786-1787_4_image,1786,3
page,1786-1787_5_image,1786,2
page,1786-1787_6_image,1786,2
page,1786-1787_7_image,1786,3
page,1786-1787_8_image,1786,3
page,1786-1787_9_image,1786,3
page,1787-1788_10_image,1787,7
page,1787-1788_1_image,1787,7
page,1787-1788_2_image,1787,7
page,1787-1788_3_image,1787,2
page,1787-1788_4_image,1787,2
page,1787-1788_5_image,1787,2
page,1787-1788_6_image,1787,2
page,1787-1788_7_image,1787,2
page,1787-1788_8_image,1787,3
page,1787-1788_9_image,1787,7
page,1788-1789_1_image,1788,7
page,1788-1789_2_image,1788,7
page,1788-1789_3_image,1788,2
page,1788-1789_4_image,1788,2
page,1788-1789_5_image,1788,2
page,1788-1789_6_image,1788,2
page,1788-1789_7_image,1788,3
page,1788-1789_8_image,1788,3
page,1788-1789_9_image,1788,7
page,1789-1790_10_image,1789,3
page,1789-1790_11_image,1789,3
page,1789-1790_1_image,1789,7
page,1789-1790_2_image,1789,2
page,1789-1790_3_image,1789,2
page,1789-1790_4_image,1789,3
page,1789-1790_5_image,1789,2
page,1789-1790_6_image,1789,2
page,1789-1790_7_image,1789,2
page,1789-1790_8_image,1789,2
page,1789-1790_9_image,1789,3
page,1790-1791_10_image,1790,7
page,1790-1791_1_image,1790,7
page,1790-1791_2_image,1790,7
page,1790-1791_3_image,1790,7
page,1790-1791_4_image,1790,2
page,1790-1791_5_image,1790,2
page,1790-1791_6_image,1790,2
page,1790-1791_7_image,1790,3
page,1790-1791_8_image,1790,2
page,1790-1791_9_image,1790,3
page,1791-1792_1_image,1791,7
page,1791-1792_2_image,1791,2
page,1791-1792_3_image,1791,3
page,1791-1792_4_image,1791,2
page,1791-1792_5_image,1791,2
page,1791-1792_6_image,1791,3
page,1792-1793_1_image,1792,7
page,1792-1793_2_image,1792,2
page,1792-1793_3_image,1792,2
page,1792-1793_4_image,1792,2
page,1792-1793_5_image,1792,2
page,1792-1793_6_image,1792,2
page,1792-1793_7_image,1792,2
page,1792-1793_8_image,1792,2
page,1792-1793_9_image,1792,3
page,1793-1794_10_image,1793,3
page,1793-1794_11_image,1793,2
page,1793-1794_12_image,1793,3
page,1793-1794_1_image,1793,7
page,1793-1794_2_image,1793,2
page,1793-1794_3_image,1793,2
page,1793-1794_4_image,1793,3
page,1793-1794_5_image,1793,2
page,1793-1794_6_image,1793,2
page,1793-1794_7_image,1793,1
page,1793-1794_8_image,1793,3
page,1793-1794_9_image,1793,3
page,1794-1795_10_image,1794,3
page,1794-1795_1_image,1794,3
page,1794-1795_2_image,1794,3
page,1794-1795_3_image,1794,3
page,1794-1795_4_image,1794,2
page,1794-1795_5_image,1794,3
page,1794-1795_6_image,1794,2
page,1794-1795_7_image,1794,3
page,1794-1795_8_image,1794,3
page,1794-1795_9_image,1794,3
page,1795-1796_10_image,1795,2
page,1795-1796_1_image,1795,3
page,1795-1796_2_image,1795,3
page,1795-1796_3_image,1795,3
page,1795-1796_4_image,1795,2
page,1795-1796_5_image,1795,2
page,1795-1796_6_image,1795,1
page,1795-1796_7_image,1795,3
page,1795-1796_8_image,1795,3
page,1795-1796_9_image,1795,4
page,1796-1797_1_image,1796,2
page,1796-1797_2_image,1796,3
page,1796-1797_3_image,1796,2
page,1796-1797_4_image,1796,2
page,1796-1797_5_image,1796,1
page,1796-1797_6_image,1796,3
page,1796-1797_7_image,1796,3
page,1796-1797_8_image,1796,2
page,1797-1798_1_image,1797,2
page,1797-1798_2_image,1797,2
page,1797-1798_3_image,1797,3
page,1797-1798_4_image,1797,1
page,1797-1798_5_image,1797,2
page,1797-1798_6_image,1797,3
page,1797-1798_7_image,1797,2
page,1797-1798_8_image,1797,2
page,1798-1799_1_image,1798,3
page,1798-1799_2_image,1798,2
page,1798-1799_3_image,1798,2
page,1798-1799_4_image,1798,1
page,1798-1799_5_image,1798,2
page,1798-1799_6_image,1798,3
page,1798-1799_7_image,1798,2
page,1798-1799_8_image,1798,2
page,1799-1800_1_image,1799,2
page,1799-1800_2_image,1799,2
page,1799-1800_3_image,1799,1
page,1799-1800_4_image,1799,2
page,1799-1800_5_image,1799,3
page,1799-1800_6_image,1799,2
page,1800_1_image,1800,3
page,1800_2_image,1800,2
page,1800_3_image,1800,2
page,1800_4_image,1800,2
page,1800_5_image,1800,1
page,1800_6_image,1800,2
page,1800_7_image,1800,2
page,1801_1_image,1801,2
page,1801_2_image,1801,2
page,1801_3_image,1801,2
page,1801_4_image,1801,1
page,1801_5_image,1801,2
page,1801_6_image,1801,3
page,1801_7_image,1801,2
page,1801_8_image,1801,2
page,1802_1_image,1802,2
page,1802_2_image,1802,2
page,1802_3_image,1802,2
page,1802_4_image,1802,2
page,1802_5_image,1802,1
page,1802_6_image,1802,2
page,1802_7_image,1802,3
page,1803_1_image,1803,2
page,1803_2_image,1803,3
page,1803_3_image,1803,2
page,1803_4_image,1803,2
page,1803_5_image,1803,2
page,1803_6_image,1803,2
page,1803_7_image,1803,1
page,1803_8_image,1803,2
