year,modern_real,total_real,modern_function_share,era,mfs_10yr,ci_lo,ci_hi
1756,152.65446508792192,515.1511359260685,0.29632947389992753,pre_industrial,0.22767301686968336,0.14245983209443544,0.4697146469872376
1757,171.1291915565158,638.8138398152855,0.26788585483056876,pre_industrial,0.2443134518415298,0.13877603938074673,0.42607592016991447
1758,181.40440790853788,1295.1584854205998,0.14006348253945708,pre_industrial,0.25857898011688174,0.05119531075814484,0.36503991323383284
1759,205.66803270173685,1026.4535937629848,0.20036758987589165,pre_industrial,0.2806793748496329,0.1045760244878377,0.39602948878850924
1760,203.71267543318103,1016.694743692637,0.20036758987589162,pre_industrial,0.26099675317543525,0.09773610531252563,0.38658576743754547
1761,250.88679864248778,611.4268929051005,0.41033000274233583,pre_industrial,0.2375296267210289,0.2531209204011878,0.5529220777430506
1762,215.28360079580966,515.1934979193989,0.4178694056994687,pre_industrial,0.23706878906742243,0.22806232582891614,0.608526729080172
1763,164.5968956885511,580.5244829995062,0.28353135915663197,pre_industrial,0.22744018369413518,0.15657899049629118,0.44797331149189784
1764,133.43511566275615,982.137730071122,0.13586191791358365,pre_industrial,0.23316118451688467,0.060074255769114564,0.2508514514967034
1765,37.69808763405818,1661.4705911398153,0.022689590676532072,pre_industrial,0.24855595101174002,0.004377839811345054,0.06293452175159273
1766,223.01305242719204,764.4735140600018,0.2917210973638627,pre_industrial,0.25282663639085523,0.1648029642554899,0.42707193349923656
1767,236.25248562564875,1376.7643325597037,0.171599801097697,pre_industrial,0.22904043609825595,0.11810999777426369,0.2438005460570217
1768,132.25795370391793,670.4294286562834,0.19727349076695155,pre_industrial,0.19882719990069064,0.12252371951655301,0.2838193790406668
1769,3.327040351622446,9.390056754036502,0.3543152548244452,pre_industrial,0.18444828954919318,0.1487525806937469,0.546829836467932
1770,88.45319976076556,363.89345760233914,0.24307444366704375,pre_industrial,0.2176427847307353,0.11181634805042212,0.39671999583080353
1771,155.96921290814848,904.3371122424816,0.172467999816343,pre_industrial,0.2655754546999497,0.09091263805831101,0.27790093879900213
1772,130.23356514038653,1125.2539459290515,0.11573704372381548,pre_industrial,0.25747632942999626,0.06523501178214011,0.19910210979328663
1773,125.68815915009925,899.4284411180731,0.1397422556416575,pre_industrial,0.2571980072335897,0.08504679038913865,0.23533595096588653
1774,504.009969873366,1077.3889878216912,0.4678068697290046,pre_industrial,0.2936747502666247,0.1994605425846662,0.6606901027917609
1775,555.0989129060802,1105.7388446466944,0.5020162903686768,pre_industrial,0.2980507944465257,0.2660896937005317,0.6738551747319906
1776,295.0770805167492,1400.2624117470332,0.21072984466432773,pre_industrial,0.28802751532300397,0.1373926480700678,0.3112158191345428
1777,175.94426467306408,1042.2214783406482,0.16881657913363116,pre_industrial,0.2856999852554336,0.10178652774440222,0.28439956102876984
