era,term,relative_freq
pre_1760,anno bampton,0.00045817357544189637
industrial_1760_1840,anno bampton,0.00020801722872106114
post_1840,anno bampton,0.0
pre_1760,anno benington,4.822879741493646e-05
industrial_1760_1840,anno benington,2.447261514365425e-05
post_1840,anno benington,0.0
pre_1760,anno bennington,0.00012057199353734115
industrial_1760_1840,anno bennington,1.2236307571827126e-05
post_1840,anno bennington,0.0
pre_1760,anno bensington,0.0004099447780269599
industrial_1760_1840,anno bensington,0.0001468356908619255
post_1840,anno bensington,0.0
pre_1760,anno capon,7.234319612240469e-05
industrial_1760_1840,anno capon,1.2236307571827126e-05
post_1840,anno capon,0.0
pre_1760,anno chace,0.00014468639224480938
industrial_1760_1840,anno chace,6.118153785913563e-05
post_1840,anno chace,0.0
pre_1760,anno chase,7.234319612240469e-05
industrial_1760_1840,anno chase,1.2236307571827126e-05
post_1840,anno chase,0.0
pre_1760,anno chaw,7.234319612240469e-05
industrial_1760_1840,anno chaw,1.2236307571827126e-05
post_1840,anno chaw,0.0
pre_1760,anno clifton,0.000313487183197087
industrial_1760_1840,anno clifton,0.00015907199843375264
post_1840,anno clifton,0.0
pre_1760,anno coll,0.00019291518965974583
industrial_1760_1840,anno coll,0.00017130830600557977
post_1840,anno coll,0.0
pre_1760,anno et,0.00014468639224480938
industrial_1760_1840,anno et,0.00011012676814644413
post_1840,anno et,0.0
pre_1760,anno garrington,7.234319612240469e-05
industrial_1760_1840,anno garrington,6.118153785913563e-05
post_1840,anno garrington,0.0
pre_1760,anno gate,4.822879741493646e-05
industrial_1760_1840,anno gate,1.2236307571827126e-05
post_1840,anno gate,0.0
pre_1760,anno gwinear,4.822879741493646e-05
industrial_1760_1840,anno gwinear,2.447261514365425e-05
post_1840,anno gwinear,0.0
pre_1760,anno kidlington,0.000313487183197087
industrial_1760_1840,anno kidlington,8.565415300278988e-05
post_1840,anno kidlington,0.0
pre_1760,anno lad,7.234319612240469e-05
industrial_1760_1840,anno lad,8.565415300278988e-05
post_1840,anno lad,0.0
pre_1760,anno laddane,4.822879741493646e-05
industrial_1760_1840,anno laddane,1.2236307571827126e-05
post_1840,anno laddane,0.0
pre_1760,anno ladlane,0.00012057199353734115
industrial_1760_1840,anno ladlane,3.6708922715481375e-05
post_1840,anno ladlane,0.0
pre_1760,anno leaden,0.00021702958836721407
industrial_1760_1840,anno leaden,1.2236307571827126e-05
post_1840,anno leaden,0.0
pre_1760,anno little,2.411439870746823e-05
industrial_1760_1840,anno little,4.89452302873085e-05
post_1840,anno little,0.0
pre_1760,anno long,0.0004822879741493646
industrial_1760_1840,anno long,2.447261514365425e-05
post_1840,anno long,0.0
pre_1760,anno medenham,4.822879741493646e-05
industrial_1760_1840,anno medenham,3.6708922715481375e-05
post_1840,anno medenham,0.0
pre_1760,anno meriton,7.234319612240469e-05
industrial_1760_1840,anno meriton,1.2236307571827126e-05
post_1840,anno meriton,0.0
pre_1760,anno merton,0.000530516771564301
industrial_1760_1840,anno merton,0.00012236307571827126
post_1840,anno merton,0.0
pre_1760,anno midenham,2.411439870746823e-05
industrial_1760_1840,anno midenham,2.447261514365425e-05
post_1840,anno midenham,0.0
pre_1760,anno minchin,7.234319612240469e-05
industrial_1760_1840,anno minchin,3.6708922715481375e-05
post_1840,anno minchin,0.0
pre_1760,anno minchinnet,4.822879741493646e-05
industrial_1760_1840,anno minchinnet,1.2236307571827126e-05
post_1840,anno minchinnet,0.0
pre_1760,anno montacute,4.822879741493646e-05
industrial_1760_1840,anno montacute,6.118153785913563e-05
post_1840,anno montacute,0.0
pre_1760,anno morton,0.00021702958836721407
industrial_1760_1840,anno morton,1.2236307571827126e-05
post_1840,anno morton,0.0
pre_1760,anno mountacute,0.00012057199353734115
industrial_1760_1840,anno mountacute,1.2236307571827126e-05
post_1840,anno mountacute,0.0
pre_1760,anno mr,0.00019291518965974583
industrial_1760_1840,anno mr,1.2236307571827126e-05
post_1840,anno mr,0.0
pre_1760,anno mrs,2.411439870746823e-05
industrial_1760_1840,anno mrs,3.6708922715481375e-05
post_1840,anno mrs,0.0
