term,pre,ind,post,delta_post_vs_pre,delta_ind_vs_pre,change
rectori,0.00016880079095227762,0.0030713132005286085,0.00282845424975251,0.0026596534588002327,0.0029025124095763306,post_vs_pre
dr,0.0014227495237406256,0.002594097205227351,0.004065902984019234,0.0026431534602786083,0.0011713476814867252,post_vs_pre
little,0.0014950927198630302,0.0029611864323821646,0.004065902984019234,0.0025708102641562036,0.0014660937125191343,post_vs_pre
church,4.822879741493646e-05,0.00031814399686750527,0.0025809645028991657,0.002532735705484229,0.0002699151994525688,post_vs_pre
trust,2.411439870746823e-05,0.00017130830600557977,0.002545608824777259,0.002521494426069791,0.00014719390729811153,post_vs_pre
osborne,2.411439870746823e-05,9.7890460574617e-05,0.0024748974685334466,0.0024507830698259785,7.377606186714878e-05,post_vs_pre
int,0.0,0.00031814399686750527,0.00243954179041154,0.00243954179041154,0.00031814399686750527,post_vs_pre
draining,0.0,7.341784543096275e-05,0.0024041861122896338,0.0024041861122896338,7.341784543096275e-05,post_vs_pre
houses,0.00012057199353734115,1.2236307571827126e-05,0.002510253146655353,0.0023896811531180116,-0.00010833568596551403,post_vs_pre
money,0.0011816055366659433,0.00515148548773922,0.003570923490312544,0.002389317953646601,0.0039698799510732765,post_vs_pre
prize,2.411439870746823e-05,0.00012236307571827126,0.0024041861122896338,0.0023800717135821657,9.824867701080303e-05,post_vs_pre
late,7.234319612240469e-05,0.0009299593754588615,0.0023688304341677275,0.002296487238045323,0.0008576161793364569,post_vs_pre
dno,0.0007234319612240468,0.0033527482746806324,0.002969876962240136,0.002246445001016089,0.002629316313456586,post_vs_pre
new,0.0016156647134003713,0.0013092849101855025,0.0038537689152877952,0.0022381042018874238,-0.0003063798032148688,post_vs_pre
thatching,0.0,2.447261514365425e-05,0.002227407721680102,0.002227407721680102,2.447261514365425e-05,post_vs_pre
bills,0.00043405917673442813,0.000783123684596936,0.002651675859142978,0.00221761668240855,0.0003490645078625079,post_vs_pre
fellows,0.000313487183197087,0.000195780921149234,0.002510253146655353,0.0021967659634582657,-0.00011770626204785298,post_vs_pre
general,0.0,0.00017130830600557977,0.0021920520435581956,0.0021920520435581956,0.00017130830600557977,post_vs_pre
rents,0.0017603511056451808,0.0008198326073124174,0.0038537689152877952,0.0020934178096426144,-0.0009405184983327634,post_vs_pre
cent,0.00014468639224480938,0.0006240516861631834,0.002227407721680102,0.0020827213294352925,0.000479365293918374,post_vs_pre
varia,7.234319612240469e-05,0.0025696245900836963,0.0021213406873143827,0.002048997491191978,0.0024972813939612916,post_vs_pre
little tew,0.00028937278448961875,0.001443884293475601,0.002333474756045821,0.0020441019715562022,0.0011545115089859823,post_vs_pre
xmas,0.0014950927198630302,0.002251480593216191,0.003535567812190638,0.0020404750923276077,0.0007563878733531609,post_vs_pre
ii,4.822879741493646e-05,0.0,0.0020859850091924765,0.00203775621177754,-4.822879741493646e-05,post_vs_pre
dno rectori,2.411439870746823e-05,0.0017987372130585874,0.00205062933107057,0.0020265149323631017,0.001774622814351119,post_vs_pre
vicario,0.0,0.0002569624590083696,0.0020152736529486636,0.0020152736529486636,0.0002569624590083696,post_vs_pre
rectors,2.411439870746823e-05,0.0003793255347266409,0.0020152736529486636,0.0019911592542411955,0.0003552111360191727,post_vs_pre
loan,0.0,0.0002814350741520239,0.0019799179748267574,0.0019799179748267574,0.0002814350741520239,post_vs_pre
wittenham,0.0006028599676867057,0.002067935979638784,0.0025809645028991657,0.00197810453521246,0.0014650760119520783,post_vs_pre
university,4.822879741493646e-05,0.0005016886104449121,0.0020152736529486636,0.001967044855533727,0.0004534598130299756,post_vs_pre
building,0.000313487183197087,0.0006240516861631834,0.002262763399802008,0.001949276216604921,0.0003105645029660964,post_vs_pre
garsington,0.0003617159806120234,0.0018843913660613774,0.0022981190779239147,0.0019364030973118914,0.001522675385449354,post_vs_pre
dues,2.411439870746823e-05,0.00012236307571827126,0.0019445622967048507,0.0019204478979973824,9.824867701080303e-05,post_vs_pre
tuition,0.0,2.447261514365425e-05,0.0019092066185829445,0.0019092066185829445,2.447261514365425e-05,post_vs_pre
room rent,0.0,4.89452302873085e-05,0.0019092066185829445,0.0019092066185829445,4.89452302873085e-05,post_vs_pre
battels,4.822879741493646e-05,0.00023248984386471539,0.0019445622967048507,0.0018963334992899144,0.00018426104644977894,post_vs_pre
chancel,2.411439870746823e-05,0.0005751064558758748,0.0019092066185829445,0.0018850922198754762,0.0005509920571684067,post_vs_pre
