year,metric,delta,abs_delta_robust_z,is_change_point
1859,n_data_rows,-44.0,1.1123333333333334,False
1869,n_data_rows,44.0,1.1123333333333334,False
1844,amount_median,-2.7270833333333337,1.1059046553893472,False
1713,entry_ratio,-0.023700000000000054,1.1037272727272924,False
1852,amount_median,-2.720833333333333,1.1013784426114916,False
1849,amount_sum,-10127.778125,1.0950720040253838,False
1867,amount_sum_real,-6874.109,1.0754990377309592,False
1801,amount_sum_real,-6864.259199999999,1.0728232394296706,False
1807,data_rows_per_page,-4.231999999999999,1.06753044982699,False
1896,amount_sum,-9965.974999999977,1.0650312363871115,False
1705,entry_ratio,-0.0232,1.059928571428586,False
1855,amount_sum_real,6787.379600000002,1.05193811454554,False
1825,data_rows_per_page,-4.196999999999999,1.0511930795847755,False
1711,entry_ratio,0.02310000000000001,1.0511688311688465,False
1773,data_rows_per_page,-4.139000000000003,1.024119723183393,False
1865,n_data_rows,-42.0,1.0176666666666667,False
1770,amount_median,2.604166666666667,1.0168891374248568,False
1896,amount_sum_real,-6638.406399999993,1.011468030330886,False
1877,amount_sum_real,-6616.3240000000005,1.0054691218851972,False
1745,data_rows_per_page,4.096,1.0040480968858139,False
1900,entry_ratio,0.022299999999999986,0.9810909090909219,False
1862,amount_sum,-9470.807291666664,0.9730971772148017,False
1816,entry_ratio,-0.022199999999999998,0.9723311688311825,False
1835,n_data_rows,-41.0,0.9703333333333333,False
1768,amount_sum_real,-6423.1246,0.9529845408449823,False
1882,data_rows_per_page,3.982999999999997,0.9513017301038055,False
1738,entry_ratio,0.02180000000000004,0.937292207792225,False
1845,entry_ratio,0.021600000000000064,0.9197727272727462,False
1739,entry_ratio,-0.021599999999999953,0.9197727272727365,False
1824,entry_ratio,0.021599999999999953,0.9197727272727365,False
1853,amount_median,2.4635416666666643,0.9150493499231073,False
1809,data_rows_per_page,-3.8850000000000016,0.905557093425607,False
1750,entry_ratio,0.021199999999999997,0.8847337662337791,False
1753,data_rows_per_page,3.8329999999999984,0.8812844290657438,False
1765,entry_ratio,-0.021100000000000008,0.8759740259740397,False
1858,n_data_rows,39.0,0.8756666666666666,False
1829,amount_sum_real,-6126.9555,0.8725271940283902,False
1837,amount_median,-2.4000000000000004,0.8690328533482456,False
1849,amount_sum_real,-6113.075199999999,0.8687564694287665,False
1846,amount_median,2.393749999999999,0.8645066405703892,False
1797,data_rows_per_page,3.7880000000000003,0.860279238754326,False
1785,n_data_rows,38.5,0.852,False
1827,amount_sum_real,-6021.3776,0.8438458842075227,False
1810,amount_sum_real,-5999.616499999998,0.8379342601731091,False
1740,entry_ratio,0.02059999999999995,0.8321753246753331,False
1854,n_data_rows,-38.0,0.8283333333333333,False
1882,amount_median,2.3203125,0.8113236404305884,False
1870,amount_sum_real,5896.134700000002,0.809822377225817,False
1750,amount_median,2.3161458333333336,0.8083061652453516,False
1756,data_rows_per_page,-3.6610000000000014,0.8009979238754339,False
1826,amount_sum,8533.518229166672,0.7990777759427173,False
1751,amount_sum_real,-5848.474099999999,0.7968748907267625,False
1863,amount_sum,8501.760416666664,0.7931815420720031,False
