year,amount_real_expenditure,amount_real_income,amount_sum_expenditure,amount_sum_income,n_entries_expenditure,n_entries_income,total_entries,income_share,net_amount,net_amount_real,era
1726,395.8426916484426,1869.084421237465,382.7007142857143,1807.030818452381,70.05714285714286,118.68571428571428,188.74285714285713,0.6288222827732365,1424.3301041666668,1473.2417295890223,pre_1760
1727,137.96863130613522,1191.9688007358088,132.3257142857143,1143.2172767857144,59.05714285714286,120.68571428571428,179.74285714285713,0.6714353838817358,1010.8915625000001,1054.0001694296736,pre_1760
1728,381.095935063115,954.2675987517142,362.5746726190476,907.8901934523809,72.05714285714286,109.68571428571428,181.74285714285713,0.6035214588901117,545.3155208333333,573.1716636885992,pre_1760
1729,282.1260792120176,1251.6199376062814,266.2423809523809,1181.1537351190475,62.05714285714286,123.68571428571428,185.74285714285713,0.6658975542224274,914.9113541666666,969.4938583942637,pre_1760
1730,483.8059625559626,3005.146663232601,452.84238095238095,2812.817276785714,76.05714285714286,159.68571428571428,235.74285714285713,0.6773724397042783,2359.974895833333,2521.3407006766383,pre_1760
1731,767.8452684129679,1989.9542675994423,723.6173809523809,1875.3329017857143,81.05714285714286,86.68571428571428,167.74285714285713,0.5167773803440641,1151.7155208333334,1222.1089991864744,pre_1760
1732,575.2569975608287,1353.8050099624588,545.8038392857143,1284.490193452381,71.05714285714286,65.68571428571428,136.74285714285713,0.48035938152946095,738.6863541666667,778.5480124016301,pre_1760
1733,844.562096195262,1394.327961110114,806.7257142857143,1331.862068452381,84.05714285714286,75.68571428571428,159.74285714285713,0.47379717402969057,525.1363541666667,549.765864914852,pre_1760
1734,984.4634871939624,1863.1410601626258,946.6600892857142,1791.596443452381,65.05714285714286,112.68571428571428,177.74285714285713,0.6339816749718695,844.9363541666668,878.6775729686634,pre_1760
1735,610.8155622786305,1512.5479787731208,591.2694642857143,1464.146443452381,66.05714285714286,77.68571428571428,143.74285714285713,0.5404492148678195,872.8769791666666,901.7324164944903,pre_1760
1736,674.2618167956839,1308.6157568271562,657.0007142857143,1275.115193452381,60.05714285714286,77.68571428571428,137.74285714285713,0.5639908732628086,618.1144791666667,634.3539400314723,pre_1760
1737,606.7163345762449,1859.5529857793445,595.067380952381,1823.849568452381,88.05714285714286,78.68571428571428,166.74285714285713,0.4718985606579849,1228.7821875,1252.8366512030996,pre_1760
1738,223.93373273134213,1259.1384151665125,221.06738095238094,1243.021443452381,71.05714285714286,67.68571428571428,138.74285714285713,0.4878500823723229,1021.9540625,1035.2046824351703,pre_1760
1739,336.66998552641667,1168.5753255358102,334.5152976190476,1161.096443452381,67.05714285714286,86.68571428571428,153.74285714285713,0.56383571826798,826.5811458333334,831.9053400093935,pre_1760
1740,3109.348630952381,2546.558943452381,3109.348630952381,2546.558943452381,83.05714285714286,87.68571428571428,170.74285714285713,0.5135542168674699,-562.7896875000001,-562.7896875000001,pre_1760
