year,metric,value,delta,abs_delta_robust_z,is_change_point,era
1823,income_amount,8130.655208333334,1799.8468750000002,1.0208650722953263,False,industrial_1760_1840
1824,income_amount,7278.431250000001,-852.223958333333,0.0234337451335775,False,industrial_1760_1840
1825,income_amount,9202.734375,1924.3031249999995,1.1518629200972061,False,industrial_1760_1840
1826,income_amount,8342.51875,-860.2156250000007,0.03184546518527035,False,industrial_1760_1840
1827,income_amount,8438.23125,95.71250000000146,-0.7728410331851379,False,industrial_1760_1840
1828,income_amount,17417.840625,8979.609375,8.57800611767192,True,industrial_1760_1840
1829,income_amount,9496.741666666667,-7921.098958333334,7.463858885538498,True,industrial_1760_1840
1830,income_amount,7430.479166666667,-2066.2625,1.3012838820842512,False,industrial_1760_1840
1831,income_amount,6142.910416666667,-1287.5687500000004,0.4816608792477065,False,industrial_1760_1840
1832,income_amount,8461.496874999999,2318.5864583333323,1.5668703471313499,False,industrial_1760_1840
1833,income_amount,13389.2125,4927.715625000001,4.313139059795022,True,industrial_1760_1840
1834,income_amount,19079.269791666666,5690.057291666666,5.115550490502857,True,industrial_1760_1840
1835,income_amount,7166.061458333334,-11913.208333333332,11.66579921649585,True,industrial_1760_1840
1836,income_amount,7914.430208333333,748.3687499999996,-0.08588024090314324,False,industrial_1760_1840
1837,income_amount,8087.211458333333,172.78125,-0.691721439892065,False,industrial_1760_1840
1838,income_amount,5536.295833333334,-2550.9156249999996,1.8114110657769613,False,industrial_1760_1840
1839,income_amount,7260.961458333333,1724.6656249999996,0.9417321886912065,False,industrial_1760_1840
1840,income_amount,4525.0375,-2735.923958333333,2.0061437006754064,False,industrial_1760_1840
1841,income_amount,6537.879166666667,2012.8416666666662,1.2450551736469515,False,post_1840
1842,income_amount,5426.769791666667,-1111.109375,0.29592654811154384,False,post_1840
1843,income_amount,10259.261458333332,4832.491666666666,4.212909994554483,True,post_1840
1844,income_amount,2658.194791666667,-7601.066666666666,7.127005240699952,True,post_1840
1845,income_amount,5294.09375,2635.898958333333,1.9008612441785806,False,post_1840
